=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.14 16:20:08 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit DS3502 Test
Couldn't find DS3502 chip
Found DS3502 chip
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
696,0.99,2.51,518.08,396.60
698,1.00,2.52,576.74,397.40
700,0.99,2.60,576.74,389.38
702,1.00,2.54,596.29,396.35
704,0.97,2.48,703.81,394.95
706,1.00,2.52,654.94,397.40
708,0.99,2.51,674.49,396.60
710,0.99,2.52,713.59,395.54
712,0.98,2.52,772.24,393.67
714,0.99,2.52,821.11,395.54
716,1.00,2.50,840.66,399.53
718,0.97,2.51,869.99,392.84
720,1.00,2.51,928.64,398.46
722,0.99,2.52,948.19,395.54
724,1.00,2.52,1016.62,397.40
726,1.00,2.52,977.52,397.40
728,1.01,2.54,928.64,398.20
730,1.00,2.60,918.87,391.21
732,1.00,2.50,889.54,399.53
734,0.97,2.50,928.64,393.89
736,1.00,2.56,909.09,394.27
738,1.00,2.50,987.29,399.53
740,0.99,2.51,1045.94,396.60
742,0.98,2.50,1036.17,395.78
744,0.99,2.54,1026.39,394.49
746,0.99,2.50,967.74,397.66
748,0.99,2.52,1026.39,395.54
750,0.99,2.59,0.00,390.38
752,0.98,2.51,1192.57,394.72
754,0.97,2.52,1094.82,391.79
756,0.99,2.46,869.99,400.91
758,0.99,2.51,694.04,396.60
760,0.99,2.48,654.94,398.73
762,1.01,2.59,606.06,394.05
764,0.98,2.47,576.74,397.93
766,1.00,2.55,518.08,395.30
768,0.99,2.48,537.63,398.73
770,1.00,2.56,488.76,394.27
772,0.97,2.51,478.98,392.84
774,0.98,2.50,459.43,395.78
776,0.99,2.51,498.53,396.60
778,1.00,2.52,439.88,397.40
780,1.01,2.55,488.76,397.15
782,0.99,2.44,459.43,402.01
784,0.99,2.58,410.56,391.40
786,0.99,2.52,420.33,395.54
788,0.99,2.47,449.66,399.82
790,1.00,2.47,459.43,401.70
792,0.99,2.52,449.66,395.54
794,0.99,2.48,469.21,398.73
796,1.00,2.43,478.98,405.01
798,1.00,2.52,498.53,397.40
800,1.00,2.54,469.21,396.35
802,0.99,2.50,498.53,397.66
804,1.00,2.51,508.31,398.46
806,1.00,2.52,527.86,397.40
808,1.01,2.55,527.86,397.15
810,1.01,2.52,606.06,401.10
812,1.01,2.52,645.16,399.25
814,1.00,2.52,684.26,397.40
816,0.97,2.48,713.59,394.95
818,1.01,2.54,733.14,398.20
820,0.98,2.51,762.46,394.72
822,0.97,2.55,782.01,389.72
824,0.98,2.51,801.56,394.72
826,0.99,2.54,772.24,394.49
828,1.01,2.51,762.46,402.17
830,0.99,2.52,791.79,395.54
832,1.00,2.52,840.66,397.40
834,0.99,2.51,948.19,396.60
836,1.00,2.55,928.64,395.30
838,1.00,2.52,830.89,397.40
840,0.98,2.50,654.94,395.78
842,1.00,2.52,537.63,397.40
844,0.99,2.44,537.63,402.01
846,1.01,2.56,547.41,396.11
848,1.00,2.50,557.18,399.53
850,1.00,2.52,635.39,397.40
852,0.99,2.51,1534.70,396.60
854,0.99,2.51,1818.18,396.60
856,0.97,2.52,1495.60,391.79
858,0.98,2.51,1192.57,394.72
860,0.98,2.51,1045.94,394.72
862,1.01,2.54,967.74,398.20
864,1.00,2.54,899.32,396.35
866,1.00,2.55,918.87,395.30
868,0.99,2.51,957.97,396.60
870,0.99,2.48,1026.39,398.73
872,0.98,2.50,1036.17,395.78
874,0.97,2.46,1045.94,397.11
876,0.98,2.48,1133.92,396.85
878,1.00,2.54,1055.72,396.35
880,0.99,2.46,1006.84,400.91
882,1.00,2.52,977.52,397.40
884,1.00,2.56,821.11,394.27
886,1.00,2.56,733.14,394.27
888,0.98,2.52,635.39,393.67
890,0.98,2.48,606.06,396.85
892,0.99,2.58,557.18,391.40
894,0.99,2.52,518.08,395.54
896,0.97,2.50,478.98,393.89
898,1.01,2.52,469.21,401.10
900,1.00,2.55,459.43,395.30
902,1.00,2.50,0.00,399.53
904,0.99,2.59,0.00,390.38
906,1.00,2.51,0.00,398.46
908,1.00,2.52,0.00,397.40
910,0.99,2.54,0.00,394.49
912,0.99,2.54,0.00,394.49
914,0.97,2.47,0.00,396.03
916,0.99,2.50,0.00,397.66
918,1.01,2.52,0.00,399.25
920,1.00,2.60,0.00,391.21
922,1.00,2.62,0.00,390.20
924,1.00,2.52,0.00,397.40
926,0.99,2.47,0.00,399.82
928,0.98,2.50,0.00,395.78
930,0.99,2.55,0.00,393.45
932,0.98,2.51,0.00,394.72
934,0.98,2.56,0.00,390.57
936,0.98,2.52,0.00,393.67
938,0.98,2.44,0.00,400.11
940,1.00,2.52,0.00,397.40
942,1.01,2.56,0.00,396.11
944,0.99,2.56,0.00,392.42
946,1.01,2.52,0.00,399.25
948,0.99,2.48,0.00,398.73
950,1.00,2.50,0.00,399.53
952,1.00,2.52,0.00,397.40
954,0.99,2.51,0.00,396.60
956,1.00,2.54,0.00,396.35
958,1.00,2.52,0.00,397.40
960,0.99,2.51,0.00,396.60
962,0.99,2.50,0.00,397.66
964,0.99,2.50,0.00,397.66
966,0.99,2.47,0.00,399.82
968,0.99,2.52,0.00,395.54
970,1.00,2.51,0.00,398.46
972,1.00,2.50,0.00,399.53
974,1.00,2.52,0.00,397.40
976,0.98,2.48,0.00,396.85
978,0.99,2.51,0.00,396.60
980,0.99,2.51,0.00,396.60
982,0.97,2.50,0.00,393.89
984,0.97,2.51,0.00,392.84
986,0.98,2.58,0.00,389.55
988,0.99,2.50,0.00,397.66
990,1.00,2.54,0.00,396.35
992,1.01,2.54,0.00,398.20
994,0.99,2.54,0.00,394.49
996,0.98,2.52,0.00,393.67
998,0.99,2.52,0.00,395.54
1000,0.99,2.48,0.00,398.73
1002,1.00,2.52,0.00,397.40
1004,0.99,2.48,0.00,398.73
1006,1.00,2.51,0.00,398.46
1008,1.00,2.52,0.00,397.40
1010,0.99,2.51,0.00,396.60
1012,0.98,2.55,0.00,391.59
1014,0.99,2.55,9.78,393.45
1016,0.99,2.50,0.00,397.66
1018,0.98,2.50,0.00,395.78
1020,1.00,2.52,0.00,397.40
1022,0.99,2.44,0.00,402.01
1024,1.00,2.46,0.00,402.79
1026,1.00,2.54,0.00,396.35
1028,1.00,2.48,0.00,400.61
1030,0.99,2.52,0.00,395.54
1032,0.99,2.51,0.00,396.60
1034,0.99,2.54,0.00,394.49
1036,0.99,2.56,0.00,392.42
1038,0.99,2.51,156.40,396.60
1040,0.99,2.52,0.00,395.54
1042,0.99,2.58,0.00,391.40
1044,0.99,2.54,0.00,394.49
1046,1.00,2.50,0.00,399.53
1048,0.99,2.52,0.00,395.54
1050,1.00,2.54,0.00,396.35
1052,1.00,2.48,0.00,400.61
1054,1.00,2.56,0.00,394.27
1056,1.00,2.52,0.00,397.40
1058,1.00,2.52,0.00,397.40
1060,0.99,2.50,0.00,397.66
1062,0.98,2.56,0.00,390.57
1064,1.01,2.51,0.00,400.32
1066,0.99,2.43,0.00,403.12
1068,1.01,2.54,0.00,398.20
1070,1.00,2.51,0.00,398.46
1072,0.99,2.59,0.00,390.38
1074,1.00,2.54,0.00,396.35
1076,1.00,2.51,0.00,398.46
1078,0.99,2.52,0.00,395.54
1080,1.00,2.55,0.00,395.30
1082,0.98,2.52,0.00,393.67
1084,0.96,2.50,0.00,391.99
1086,0.98,2.51,0.00,394.72
1088,0.98,2.47,0.00,397.93
1090,0.99,2.52,0.00,395.54
1092,0.99,2.51,0.00,396.60
1094,0.99,2.51,0.00,396.60
1096,1.00,2.56,0.00,394.27
1098,0.98,2.51,0.00,394.72
1100,0.99,2.42,0.00,404.23
1102,1.01,2.55,410.56,397.15
1104,0.99,2.42,0.00,404.23
1106,0.97,2.51,0.00,392.84
1108,0.98,2.50,0.00,395.78
1110,0.98,2.51,0.00,394.72
1112,0.96,2.48,0.00,393.05
1114,1.00,2.52,0.00,397.40
1116,1.00,2.51,0.00,398.46
1118,1.00,2.55,0.00,395.30
1120,0.99,2.52,0.00,395.54
1122,1.01,2.51,0.00,400.32
1124,1.01,2.54,0.00,398.20
1126,1.00,2.52,0.00,397.40
1128,0.99,2.54,0.00,394.49
1130,0.97,2.48,694.04,394.95
1132,0.97,2.48,0.00,394.95
1134,0.99,2.50,0.00,397.66
1136,1.00,2.48,0.00,400.61
1138,0.98,2.50,0.00,395.78
1140,0.99,2.50,0.00,397.66
1142,0.99,2.50,0.00,397.66
1144,1.00,2.54,0.00,396.35
1146,1.00,2.51,0.00,398.46
1148,1.00,2.52,0.00,397.40
1150,1.00,2.52,703.81,397.40
1152,0.99,2.51,498.53,396.60
1154,1.00,2.51,478.98,398.46
1156,0.99,2.51,449.66,396.60
1158,0.99,2.47,410.56,399.82
1160,0.99,2.54,420.33,394.49
1162,0.99,2.51,410.56,396.60
1164,1.01,2.50,371.46,401.39
1166,0.99,2.46,332.36,400.91
1168,1.00,2.54,342.13,396.35
1170,1.00,2.52,263.93,397.40
1172,0.97,2.51,273.70,392.84
1174,0.99,2.47,215.05,399.82
1176,0.98,2.51,234.60,394.72
1178,0.99,2.51,205.28,396.60
1180,0.97,2.48,205.28,394.95
1182,0.98,2.51,234.60,394.72
1184,1.01,2.54,195.50,398.20
1186,1.00,2.52,215.05,397.40
1188,0.99,2.50,215.05,397.66
1190,0.99,2.56,303.03,392.42
1192,1.00,2.51,244.38,398.46
1194,0.99,2.54,185.73,394.49
1196,1.00,2.54,146.63,396.35
1198,0.98,2.51,175.95,394.72
1200,1.00,2.48,205.28,400.61
1202,1.00,2.52,234.60,397.40
1204,0.99,2.55,244.38,393.45
1206,0.99,2.52,293.26,395.54
1208,0.98,2.51,293.26,394.72
1210,0.97,2.46,303.03,397.11
1212,0.99,2.50,322.58,397.66
1214,1.00,2.54,361.68,396.35
1216,0.97,2.48,410.56,394.95
1218,0.99,2.56,449.66,392.42
1220,0.99,2.51,498.53,396.60
1222,1.01,2.50,606.06,401.39
1224,0.99,2.51,694.04,396.60
1226,0.98,2.44,733.14,400.11
1228,0.99,2.51,879.77,396.60
1230,0.99,2.56,1016.62,392.42
1232,0.97,2.48,1202.35,394.95
1234,0.99,2.47,1270.77,399.82
1236,1.00,2.47,1143.69,401.70
1238,1.00,2.52,987.29,397.40
1240,1.00,2.52,879.77,397.40
1242,0.98,2.48,860.21,396.85
1244,0.97,2.52,811.34,391.79
1246,0.98,2.55,811.34,391.59
1248,0.98,2.50,762.46,395.78
1250,1.00,2.52,782.01,397.40
1252,1.00,2.52,801.56,397.40
1254,1.00,2.59,811.34,392.22
1256,0.99,2.55,830.89,393.45
1258,0.99,2.50,879.77,397.66
1260,1.00,2.58,889.54,393.24
1262,0.99,2.52,967.74,395.54
1264,1.00,2.52,997.07,397.40
1266,0.99,2.46,1104.59,400.91
1268,0.99,2.48,1133.92,398.73
1270,1.00,2.51,0.00,398.46
1272,1.00,2.51,0.00,398.46
1274,0.99,2.52,1261.00,395.54
1276,0.99,2.48,1173.02,398.73
1278,0.99,2.48,1153.47,398.73
1280,0.98,2.48,1202.35,396.85
1282,0.99,2.52,1280.55,395.54
1284,0.99,2.51,1270.77,396.60
1286,1.01,2.54,1270.77,398.20
1288,0.99,2.59,1192.57,390.38
1290,1.00,2.51,1104.59,398.46
1292,1.00,2.52,1094.82,397.40
1294,1.00,2.46,1055.72,402.79
1296,0.99,2.52,1094.82,395.54
1298,0.99,2.51,1241.45,396.60
1300,0.99,2.55,1378.30,393.45
1302,0.97,2.51,1515.15,392.84
1304,0.97,2.54,1612.90,390.75
1306,0.99,2.50,1564.03,397.66
1308,0.99,2.51,1466.28,396.60
1310,1.00,2.52,1388.07,397.40
1312,0.99,2.60,1378.30,389.38
1314,1.00,2.55,1378.30,395.30
1316,0.99,2.47,1446.73,399.82
1318,1.00,2.46,1603.13,402.79
1320,0.99,2.51,1583.58,396.60
1322,1.00,2.50,1544.48,399.53
1324,1.00,2.50,1564.03,399.53
1326,0.99,2.47,1593.35,399.82
1328,0.99,2.51,1622.68,396.60
1330,0.99,2.52,1515.15,395.54
1332,0.99,2.55,1309.87,393.45
1334,0.99,2.51,1202.35,396.60
1336,0.99,2.48,1163.25,398.73
1338,1.00,2.58,1163.25,393.24
1340,1.01,2.55,1036.17,397.15
1342,0.98,2.46,1065.49,399.01
1344,1.00,2.55,1085.04,395.30
1346,1.00,2.52,1221.90,397.40
1348,0.97,2.54,1388.07,390.75
1350,1.01,2.52,1583.58,399.25
1352,1.00,2.54,1524.93,396.35
1354,0.99,2.51,1319.65,396.60
1356,0.99,2.50,1163.25,397.66
1358,0.98,2.51,1036.17,394.72
1360,0.98,2.51,967.74,394.72
1362,1.01,2.55,889.54,397.15
1364,1.01,2.52,860.21,399.25
1366,1.00,2.54,860.21,396.35
1368,1.01,2.52,909.09,399.25
1370,0.99,2.54,1124.14,394.49
1372,1.00,2.51,1378.30,398.46
1374,1.00,2.51,1446.73,398.46
1376,0.98,2.47,1456.50,397.93
1378,1.00,2.52,1388.07,397.40
1380,0.99,2.52,1358.75,395.54
1382,0.98,2.50,1300.10,395.78
1384,0.99,2.52,1270.77,395.54
1386,1.00,2.55,1348.97,395.30
1388,0.98,2.51,1378.30,394.72
1390,0.99,2.43,1280.55,403.12
1392,1.01,2.54,1280.55,398.20
1394,0.99,2.52,1192.57,395.54
1396,0.99,2.52,1143.69,395.54
1398,1.00,2.48,1055.72,400.61
1400,0.96,2.48,0.00,393.05
1402,1.00,2.63,0.00,389.21
1404,0.98,2.51,0.00,394.72
1406,0.98,2.51,0.00,394.72
1408,0.99,2.51,0.00,396.60
1410,1.00,2.55,0.00,395.30
1412,0.99,2.54,0.00,394.49
1414,0.98,2.50,0.00,395.78
1416,1.00,2.51,0.00,398.46
1418,1.00,2.48,0.00,400.61
1420,0.99,2.51,0.00,396.60
1422,1.01,2.56,0.00,396.11
1424,0.97,2.51,0.00,392.84
1426,0.99,2.55,1798.63,393.45
1428,0.99,2.55,1661.78,393.45
1430,0.98,2.50,1515.15,395.78
1432,0.99,2.51,1583.58,396.60
1434,0.98,2.55,1622.68,391.59
1436,0.99,2.51,1691.10,396.60
1438,0.98,2.51,1759.53,394.72
1440,1.00,2.51,1730.21,398.46
1442,1.00,2.46,1691.10,402.79
1444,1.01,2.52,1544.48,399.25
1446,0.99,2.51,1446.73,396.60
1448,0.99,2.51,1466.28,396.60
1450,1.00,2.52,1573.80,397.40
1452,1.00,2.51,1485.83,398.46
1454,1.00,2.52,1300.10,397.40
1456,1.01,2.54,1143.69,400.04
1458,1.00,2.51,1026.39,398.46
1460,0.97,2.50,938.42,393.89
1462,0.99,2.50,830.89,397.66
1464,0.99,2.51,791.79,396.60
1466,0.97,2.51,811.34,392.84
