=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.22 17:18:31 =~=~=~=~=~=~=~=~=~=~=~=,,,,
Adafruit DS3502 Test,,,,
Couldn't find DS3502 chip,,,,
Found DS3502 chip,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
59.4,0.95,2.5,420.33,390.09
59.6,0.96,2.48,439.88,393.05
59.8,0.95,2.48,459.43,391.14
60,0.96,2.47,459.43,394.12
60.2,0.95,2.48,449.66,391.14
60.4,0.93,2.46,449.66,389.4
60.6,0.96,2.5,459.43,391.99
60.8,0.95,2.47,439.88,392.2
61,0.95,2.51,430.11,389.04
61.2,0.95,2.5,459.43,390.09
61.4,0.95,2.51,449.66,389.04
61.6,0.96,2.5,449.66,391.99
61.8,0.96,2.56,430.11,386.83
62,0.95,2.46,439.88,393.27
62.2,0.95,2.47,430.11,392.2
62.4,0.96,2.55,439.88,387.84
62.6,0.96,2.48,420.33,393.05
62.8,0.95,2.44,420.33,394.35
63,0.94,2.48,400.78,389.22
63.2,0.97,2.48,439.88,394.95
63.4,0.95,2.48,439.88,391.14
63.6,0.94,2.56,459.43,383.05
63.8,0.95,2.46,459.43,393.27
64,0.96,2.5,449.66,391.99
64.2,0.93,2.47,420.33,388.34
64.4,0.94,2.47,459.43,390.27
64.6,0.96,2.46,478.98,395.19
64.8,0.94,2.56,430.11,383.05
65,0.95,2.5,449.66,390.09
65.2,0.96,2.38,478.98,401.84
65.4,0.95,2.46,459.43,393.27
65.6,0.96,2.47,459.43,394.12
65.8,0.96,2.5,469.21,391.99
66,0.97,2.44,469.21,398.2
66.2,0.96,2.56,449.66,386.83
66.4,0.95,2.43,459.43,395.44
66.6,0.94,2.48,430.11,389.22
66.8,0.94,2.43,439.88,393.49
67,0.96,2.5,430.11,391.99
67.2,0.96,2.5,449.66,391.99
67.4,0.95,2.46,449.66,393.27
67.6,0.97,2.5,439.88,393.89
67.8,0.97,2.46,459.43,397.11
68,0.94,2.5,459.43,388.17
68.2,0.95,2.51,478.98,389.04
68.4,0.95,2.51,449.66,389.04
68.6,0.93,2.44,449.66,390.46
68.8,0.96,2.47,478.98,394.12
69,0.94,2.48,478.98,389.22
69.2,0.95,2.55,439.88,385.96
69.4,0.93,2.55,449.66,382.15
69.6,0.96,2.39,469.21,400.7
69.8,0.97,2.44,469.21,398.2
70,0.96,2.44,469.21,396.28
70.2,0.93,2.51,459.43,385.21
70.4,0.95,2.56,469.21,384.95
70.6,0.97,2.48,449.66,394.95
70.8,0.96,2.46,469.21,395.19
71,0.99,2.48,459.43,398.73
71.2,0.96,2.5,420.33,391.99
71.4,0.94,2.47,430.11,390.27
71.6,0.94,2.47,400.78,390.27
71.8,0.95,2.47,410.56,392.2
72,0.95,2.46,410.56,393.27
72.2,0.94,2.46,400.78,391.34
72.4,0.96,2.47,439.88,394.12
72.6,0.96,2.48,469.21,393.05
72.8,0.95,2.44,439.88,394.35
73,0.93,2.47,439.88,388.34
73.2,0.96,2.48,449.66,393.05
73.4,0.94,2.47,439.88,390.27
73.6,0.96,2.48,439.88,393.05
73.8,0.93,2.5,430.11,386.24
74,0.94,2.46,449.66,391.34
74.2,0.94,2.47,420.33,390.27
74.4,0.95,2.48,439.88,391.14
74.6,0.95,2.48,439.88,391.14
74.8,0.96,2.46,459.43,395.19
75,0.94,2.52,459.43,386.1
75.2,0.96,2.46,439.88,395.19
75.4,0.94,2.47,420.33,390.27
75.6,0.95,2.56,469.21,384.95
75.8,0.94,2.47,469.21,390.27
76,0.95,2.48,478.98,391.14
76.2,0.93,2.47,469.21,388.34
76.4,0.94,2.48,469.21,389.22
76.6,0.95,2.5,478.98,390.09
76.8,0.95,2.47,478.98,392.2
77,0.93,2.47,469.21,388.34
77.2,0.95,2.48,459.43,391.14
77.4,0.96,2.51,469.21,390.94
77.6,0.93,2.5,478.98,386.24
77.8,0.95,2.48,439.88,391.14
78,0.94,2.46,449.66,391.34
78.2,0.96,2.52,469.21,389.9
78.4,0.96,2.52,469.21,389.9
78.6,0.96,2.55,469.21,387.84
78.8,0.94,2.5,449.66,388.17
79,0.95,2.47,488.76,392.2
79.2,0.96,2.55,498.53,387.84
79.4,0.92,2.5,488.76,384.31
79.6,0.94,2.47,478.98,390.27
79.8,0.95,2.47,488.76,392.2
80,0.97,2.47,508.31,396.03
80.2,0.96,2.48,488.76,393.05
80.4,0.94,2.55,459.43,384.06
80.6,0.95,2.48,478.98,391.14
80.8,0.95,2.48,488.76,391.14
81,0.96,2.44,498.53,396.28
81.2,0.95,2.5,488.76,390.09
81.4,0.95,2.42,508.31,396.53
81.6,0.94,2.51,469.21,387.13
81.8,0.96,2.47,498.53,394.12
82,0.96,2.48,488.76,393.05
82.2,0.95,2.43,488.76,395.44
82.4,0.95,2.47,488.76,392.2
82.6,0.97,2.48,488.76,394.95
82.8,0.96,2.47,488.76,394.12
83,0.95,2.46,478.98,393.27
83.2,0.94,2.47,478.98,390.27
83.4,0.95,2.48,449.66,391.14
83.6,0.97,2.46,488.76,397.11
83.8,0.97,2.43,449.66,399.29
84,0.95,2.47,439.88,392.2
84.2,0.93,2.52,430.11,384.18
84.4,0.95,2.48,439.88,391.14
84.6,0.97,2.43,459.43,399.29
84.8,0.94,2.5,469.21,388.17
85,0.95,2.54,469.21,386.98
85.2,0.95,2.48,478.98,391.14
85.4,0.96,2.5,488.76,391.99
85.6,0.95,2.55,459.43,385.96
85.8,0.95,2.51,469.21,389.04
86,0.95,2.39,478.98,398.76
86.2,0.96,2.5,469.21,391.99
86.4,0.96,2.48,459.43,393.05
86.6,0.95,2.47,488.76,392.2
86.8,0.96,2.46,488.76,395.19
87,0.96,2.48,508.31,393.05
87.2,0.96,2.51,478.98,390.94
87.4,0.93,2.5,469.21,386.24
87.6,0.94,2.48,478.98,389.22
87.8,0.97,2.52,469.21,391.79
88,0.95,2.5,439.88,390.09
88.2,0.96,2.48,498.53,393.05
88.4,0.94,2.51,488.76,387.13
88.6,0.95,2.46,469.21,393.27
