=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.16 13:10:09 =~=~=~=~=~=~=~=~=~=~=~=
17461,0.99,2.50,0
938,1.00,2.47,449.66,401.70
940,0.99,2.47,420.33,399.82
942,1.00,2.44,410.56,403.90
944,0.99,2.48,439.88,398.73
946,1.00,2.47,430.11,401.70
948,0.97,2.40,410.56,401.52
950,1.00,2.54,420.33,396.35
952,0.98,2.46,420.33,399.01
954,1.00,2.44,439.88,403.90
956,0.99,2.47,469.21,399.82
958,0.99,2.50,527.86,397.66
960,0.98,2.47,469.21,397.93
962,1.00,2.48,449.66,400.61
964,1.00,2.50,420.33,399.53
966,1.00,2.47,420.33,401.70
968,1.00,2.46,420.33,402.79
970,1.00,2.47,420.33,401.70
972,1.01,2.46,410.56,404.67
974,1.00,2.46,410.56,402.79
976,0.99,2.47,391.01,399.82
978,1.01,2.48,430.11,402.48
980,0.98,2.38,420.33,405.72
982,0.99,2.47,459.43,399.82
984,1.00,2.50,469.21,399.53
986,1.00,2.48,439.88,400.61
988,1.00,2.47,459.43,401.70
990,0.99,2.54,449.66,394.49
992,1.00,2.48,459.43,400.61
994,1.00,2.47,449.66,401.70
996,1.01,2.46,439.88,404.67
998,0.98,2.50,439.88,395.78
1000,1.00,2.48,420.33,400.61
1002,1.00,2.44,430.11,403.90
1004,1.00,2.48,439.88,400.61
1006,0.99,2.47,420.33,399.82
1008,0.98,2.48,410.56,396.85
1010,1.01,2.54,430.11,398.20
1012,1.00,2.48,410.56,400.61
1014,0.99,2.42,488.76,404.23
1016,0.97,2.46,488.76,397.11
1018,0.99,2.48,518.08,398.73
1020,0.98,2.48,674.49,396.85
1022,0.99,2.50,625.61,397.66
1024,0.99,2.43,508.31,403.12
1026,0.98,2.44,449.66,400.11
1028,0.99,2.43,478.98,403.12
1030,0.99,2.47,449.66,399.82
1032,0.98,2.36,449.66,406.87
1034,0.99,2.48,469.21,398.73
1036,0.98,2.46,478.98,399.01
1038,0.99,2.42,469.21,404.23
1040,0.99,2.44,469.21,402.01
1042,0.99,2.50,488.76,397.66
1044,1.00,2.48,527.86,400.61
1046,0.99,2.52,488.76,395.54
1048,0.98,2.48,469.21,396.85
1050,0.99,2.50,478.98,397.66
1052,1.01,2.52,469.21,399.25
1054,1.00,2.48,478.98,400.61
1056,0.99,2.54,488.76,394.49
1058,0.99,2.48,469.21,398.73
1060,0.98,2.48,508.31,396.85
1062,0.99,2.48,576.74,398.73
1064,0.98,2.51,488.76,394.72
1066,1.00,2.43,498.53,405.01
1068,1.00,2.47,469.21,401.70
1070,0.97,2.48,469.21,394.95
1072,0.99,2.46,508.31,400.91
1074,0.99,2.46,498.53,400.91
1076,0.98,2.52,459.43,393.67
1078,0.99,2.46,488.76,400.91
1080,0.99,2.42,469.21,404.23
1082,0.99,2.47,469.21,399.82
1084,1.00,2.48,508.31,400.61
1086,0.99,2.47,537.63,399.82
1088,1.01,2.54,469.21,398.20
1090,0.99,2.50,449.66,397.66
1092,1.00,2.47,478.98,401.70
1094,1.00,2.52,459.43,397.40
1096,1.00,2.50,439.88,399.53
1098,0.98,2.51,449.66,394.72
1100,0.99,2.54,449.66,394.49
