Time (sec),Feed (mm/min),Draw (m/min),Output Dia,Predicted Dia
86.2,2,4.54,420.33,399.99
86.4,2,4.54,420.33,399.99
86.6,2.01,4.54,420.33,400.92
86.8,2,4.54,420.33,399.99
87,2,4.54,420.33,399.99
87.2,2,4.65,420.33,395.31
87.4,2,4.65,400.78,395.31
87.6,2,4.65,371.46,395.31
87.8,2.01,4.65,351.91,396.23
88,2,4.65,322.58,395.31
88.2,2,4.65,322.58,395.31
88.4,1.99,4.65,332.36,394.39
88.6,1.99,4.65,332.36,394.39
88.8,1.99,4.65,312.81,394.39
89,2,4.65,312.81,395.31
89.2,1.99,4.65,322.58,394.39
89.4,1.99,4.65,312.81,394.39
89.6,2,4.65,332.36,395.31
89.8,2,4.65,342.13,395.31
90,2,4.65,351.91,395.31
90.2,1.99,4.65,342.13,394.39
90.4,2,4.65,361.68,395.31
90.6,2,4.65,361.68,395.31
90.8,2,4.65,342.13,395.31
91,2,4.65,342.13,395.31
91.2,2,4.65,332.36,395.31
91.4,1.99,4.65,371.46,394.39
91.6,1.99,4.65,371.46,394.39
91.8,2,4.65,351.91,395.31
92,1.99,4.65,351.91,394.39
92.2,1.99,4.65,351.91,394.39
92.4,2,4.65,342.13,395.31
92.6,2,4.65,332.36,395.31
92.8,2,4.65,332.36,395.31
93,2,4.65,351.91,395.31
93.2,1.99,4.65,361.68,394.39
93.4,1.99,4.65,371.46,394.39
93.6,2.01,4.65,361.68,396.23
93.8,2,4.65,361.68,395.31
94,2,4.65,391.01,395.31
94.2,1.99,4.65,400.78,394.39
94.4,1.99,4.65,391.01,394.39
94.6,1.99,4.65,400.78,394.39
94.8,1.99,4.65,400.78,394.39
95,2,4.65,391.01,395.31
95.2,2,4.65,391.01,395.31
95.4,2,4.65,391.01,395.31
95.6,2,4.65,391.01,395.31
95.8,2,4.65,391.01,395.31
96,2,4.65,410.56,395.31
96.2,1.99,4.65,410.56,394.39
96.4,2,4.65,381.23,395.31
96.6,2,4.65,361.68,395.31
96.8,2,4.54,371.46,399.99
97,2,4.54,371.46,399.99
97.2,1.99,4.54,351.91,399.06
97.4,1.99,4.54,371.46,399.06
97.6,2,4.54,371.46,399.99
97.8,1.99,4.54,381.23,399.06
98,2,4.54,381.23,399.99
98.2,2,4.54,391.01,399.99
98.4,2,4.54,381.23,399.99
98.6,2,4.54,391.01,399.99
98.8,1.99,4.54,391.01,399.06
99,2,4.54,351.91,399.99
99.2,1.99,4.54,391.01,399.06
99.4,2,4.54,351.91,399.99
99.6,1.99,4.54,322.58,399.06
99.8,2,4.54,322.58,399.99
100,2,4.54,322.58,399.99
100.2,2,4.54,312.81,399.99
100.4,2,4.54,303.03,399.99
100.6,1.99,4.54,303.03,399.06
100.8,1.99,4.54,293.26,399.06
101,2,4.54,312.81,399.99
101.2,1.99,4.54,322.58,399.06
101.4,2,4.54,322.58,399.99
101.6,2,4.54,322.58,399.99
101.8,2,4.54,322.58,399.99
102,2,4.54,332.36,399.99
102.2,2,4.54,332.36,399.99
102.4,2,4.54,342.13,399.99
102.6,2,4.54,322.58,399.99
102.8,1.99,4.54,303.03,399.06
103,2,4.54,293.26,399.99
103.2,2,4.54,303.03,399.99
103.4,2,4.54,293.26,399.99
103.6,2,4.54,273.7,399.99
103.8,1.99,4.54,273.7,399.06
104,1.99,4.54,293.26,399.06
104.2,1.99,4.54,293.26,399.06
104.4,1.99,4.54,283.48,399.06
104.6,2,4.54,283.48,399.99
104.8,2,4.54,293.26,399.99
105,2,4.54,293.26,399.99
105.2,1.99,4.54,312.81,399.06
105.4,2,4.54,312.81,399.99
105.6,2,4.54,322.58,399.99
105.8,2,4.54,312.81,399.99
106,1.99,4.54,322.58,399.06
106.2,2,4.54,332.36,399.99
106.4,2,4.54,312.81,399.99
106.6,1.99,4.54,293.26,399.06
106.8,2,4.43,293.26,404.84
107,1.99,4.43,303.03,403.9
107.2,1.99,4.43,303.03,403.9
107.4,1.99,4.43,332.36,403.9
107.6,2,4.43,322.58,404.84
107.8,1.99,4.43,322.58,403.9
108,2,4.43,322.58,404.84
108.2,2,4.43,322.58,404.84
108.4,2,4.43,312.81,404.84
108.6,2,4.43,303.03,404.84
108.8,2,4.43,312.81,404.84
109,1.99,4.43,332.36,403.9
109.2,2,4.43,303.03,404.84
109.4,2,4.43,303.03,404.84
109.6,2,4.43,322.58,404.84
109.8,2,4.43,303.03,404.84
110,1.99,4.43,312.81,403.9
110.2,1.99,4.43,312.81,403.9
110.4,2,4.43,322.58,404.84
110.6,1.99,4.43,312.81,403.9
110.8,2.01,4.43,312.81,405.78
111,2,4.43,322.58,404.84
111.2,2,4.32,312.81,409.87
111.4,2,4.32,312.81,409.87
111.6,1.99,4.32,312.81,408.92
111.8,1.99,4.32,322.58,408.92
112,1.99,4.32,322.58,408.92
112.2,1.99,4.32,322.58,408.92
112.4,1.99,4.32,303.03,408.92
112.6,2,4.32,303.03,409.87
112.8,2,4.32,312.81,409.87
113,1.99,4.32,312.81,408.92
