=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
368,0.97,2.47,420.33,396.03,,,,,,,,,
370,0.99,2.5,410.56,397.66,,,,,,,,,
372,1.01,2.51,400.78,400.32,,,,,,,,,
374,0.98,2.5,439.88,395.78,,,,,,,,,
376,0.99,2.39,459.43,406.5,,,,,,,,,
378,1,2.51,449.66,398.46,,,,,,,,,
380,1,2.51,459.43,398.46,,,,,,,,,
382,1,2.51,430.11,398.46,,,,,,,,,
384,0.98,2.55,439.88,391.59,,,,,,,,,
386,1,2.48,420.33,400.61,,,,,,,,,
388,0.98,2.47,420.33,397.93,,,,,,,,,
390,0.99,2.43,410.56,403.12,,,,,,,,,
392,1,2.5,420.33,399.53,,,,,,,,,
394,1.01,2.51,420.33,400.32,,,,,,,,,
396,0.99,2.5,439.88,397.66,,,,,,,,,
398,1,2.52,449.66,397.4,,,,,,,,,
400,1,2.52,410.56,397.4,,,,,,,,,
402,1,2.5,430.11,399.53,,,,,,,,,
404,0.99,2.52,410.56,395.54,,,,,,,,,
406,0.96,2.5,410.56,391.99,,,,,,,,,
408,0.99,2.46,420.33,400.91,,,,,,,,,
410,0.99,2.47,439.88,399.82,,,,,,,,,
412,0.99,2.54,420.33,394.49,,,,,,,,,
414,0.99,2.5,410.56,397.66,,,,,,,,,
416,0.99,2.46,420.33,400.91,,,,,,,,,
418,0.99,2.51,420.33,396.6,,,,,,,,,
420,0.99,2.51,430.11,396.6,,,,,,,,,
422,1,2.52,439.88,397.4,,,,,,,,,
424,0.98,2.48,400.78,396.85,,,,,,,,,
426,0.99,2.5,361.68,397.66,,,,,,,,,
428,0.99,2.48,420.33,398.73,,,,,,,,,
430,1,2.5,400.78,399.53,,,,,,,,,
432,0.98,2.5,391.01,395.78,,,,,,,,,
434,0.98,2.5,391.01,395.78,,,,,,,,,
436,0.99,2.52,381.23,395.54,,,,,,,,,
438,0.99,2.58,381.23,391.4,,,,,,,,,
440,0.99,2.47,410.56,399.82,,,,,,,,,
442,1,2.51,381.23,398.46,,,,,,,,,
444,1,2.5,469.21,399.53,,,,,,,,,
446,0.99,2.5,469.21,397.66,,,,,,,,,
448,0.99,2.51,420.33,396.6,,,,,,,,,
450,1,2.5,391.01,399.53,,,,,,,,,
452,1,2.5,410.56,399.53,,,,,,,,,
454,1,2.56,469.21,394.27,,,,,,,,,
456,0.99,2.46,459.43,400.91,,,,,,,,,
458,0.99,2.44,420.33,402.01,,,,,,,,,
460,0.98,2.52,410.56,393.67,,,,,,,,,
462,1.01,2.51,410.56,400.32,,,,,,,,,
464,0.97,2.51,420.33,392.84,,,,,,,,,
466,1,2.52,410.56,397.4,,,,,,,,,
468,1.01,2.5,459.43,401.39,,,,,,,,,
470,1.01,2.52,420.33,399.25,,,,,,,,,
472,0.99,2.52,410.56,395.54,,,,,,,,,
474,0.99,2.51,400.78,396.6,,,,,,,,,
476,0.99,2.51,439.88,396.6,,,,,,,,,
478,0.99,2.59,459.43,390.38,,,,,,,,,
480,0.98,2.46,430.11,399.01,,,,,,,,,
482,1.01,2.55,439.88,398.98,,,,,,,,,
