=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
11138,2.01,5.01,498.53,400.86,,,,,,,,,
11140,2.01,4.99,459.43,401.39,,,,,,,,,
11142,2.03,4.93,430.11,405.99,,,,,,,,,
11144,2.01,4.99,430.11,401.39,,,,,,,,,
11146,2.01,5.03,478.98,399.79,,,,,,,,,
11148,2.01,4.99,498.53,401.39,,,,,,,,,
11150,2.02,5.01,518.08,401.78,,,,,,,,,
11152,2.03,4.98,478.98,403.79,,,,,,,,,
11154,2.01,4.97,498.53,402.48,,,,,,,,,
11156,2.01,4.91,478.98,404.67,,,,,,,,,
11158,2,4.99,430.11,400.46,,,,,,,,,
11160,2.02,4.98,381.23,402.86,,,,,,,,,
11162,2.02,4.99,410.56,402.32,,,,,,,,,
11164,2.01,4.98,391.01,401.94,,,,,,,,,
11166,2.01,4.99,400.78,401.39,,,,,,,,,
11168,2.02,5.01,410.56,401.78,,,,,,,,,
11170,2.02,5.02,381.23,401.25,,,,,,,,,
11172,2.01,5.02,410.56,400.32,,,,,,,,,
11174,2.01,5.01,371.46,400.86,,,,,,,,,
11176,2.01,5.02,351.91,400.32,,,,,,,,,
11178,2.01,4.89,410.56,405.78,,,,,,,,,
11180,2.02,5.02,400.78,401.25,,,,,,,,,
11182,2.01,4.99,371.46,401.39,,,,,,,,,
11184,2,5.02,371.46,399.39,,,,,,,,,
11186,2,4.99,381.23,400.46,,,,,,,,,
11188,2.01,5.03,381.23,399.79,,,,,,,,,
11190,2.02,5.05,420.33,400.18,,,,,,,,,
11192,2,5.02,371.46,399.39,,,,,,,,,
11194,2.03,4.99,400.78,403.25,,,,,,,,,
11196,2.01,4.99,420.33,401.39,,,,,,,,,
11198,1.99,4.98,488.76,400.07,,,,,,,,,
11200,2.03,5.02,498.53,402.17,,,,,,,,,
11202,2.01,5.02,420.33,400.32,,,,,,,,,
11204,2.01,4.99,391.01,401.39,,,,,,,,,
11206,2,5.01,420.33,399.93,,,,,,,,,
11208,2.01,4.99,400.78,401.39,,,,,,,,,
11210,2.01,4.98,410.56,401.94,,,,,,,,,
11212,2.01,5.02,527.86,400.32,,,,,,,,,
11214,2.01,4.99,742.91,401.39,,,,,,,,,
11216,2.01,5.01,752.69,400.86,,,,,,,,,
11218,2.01,4.99,791.79,401.39,,,,,,,,,
11220,2.02,5.01,596.29,401.78,,,,,,,,,
11222,2.01,5.01,508.31,400.86,,,,,,,,,
11224,2,4.95,430.11,402.09,,,,,,,,,
11226,2,4.99,449.66,400.46,,,,,,,,,
11228,2.01,4.99,459.43,401.39,,,,,,,,,
11230,2.01,4.91,488.76,404.67,,,,,,,,,
11232,2.02,4.95,459.43,403.95,,,,,,,,,
11234,2,5.02,439.88,399.39,,,,,,,,,
11236,2,4.95,400.78,402.09,,,,,,,,,
11238,2.02,4.98,420.33,402.86,,,,,,,,,
11240,2,4.99,410.56,400.46,,,,,,,,,
11242,2,5.03,410.56,398.86,,,,,,,,,
11244,2,5.01,420.33,399.93,,,,,,,,,
11246,1.99,4.98,400.78,400.07,,,,,,,,,
11248,2.01,5.01,430.11,400.86,,,,,,,,,
11250,2.01,4.99,518.08,401.39,,,,,,,,,
11252,2.01,4.94,420.33,403.57,,,,,,,,,
11254,2.01,4.98,430.11,401.94,,,,,,,,,
11256,2.02,4.99,430.11,402.32,,,,,,,,,
11258,2.02,5.06,449.66,399.65,,,,,,,,,
11260,2.02,4.98,478.98,402.86,,,,,,,,,
11262,2,4.98,498.53,401,,,,,,,,,
11264,2,4.95,459.43,402.09,,,,,,,,,
11266,2,4.99,400.78,400.46,,,,,,,,,
11268,2,4.98,430.11,401,,,,,,,,,
11270,2,5.03,449.66,398.86,,,,,,,,,
11272,2.01,4.99,400.78,401.39,,,,,,,,,
11274,2.01,4.99,439.88,401.39,,,,,,,,,
11276,2,5.07,420.33,397.27,,,,,,,,,
11278,1.99,4.99,420.33,399.53,,,,,,,,,
11280,2.01,5.01,449.66,400.86,,,,,,,,,
11282,2.01,4.99,439.88,401.39,,,,,,,,,
11284,2.01,4.99,420.33,401.39,,,,,,,,,
11286,2.01,4.99,488.76,401.39,,,,,,,,,
11288,2.01,4.99,576.74,401.39,,,,,,,,,
11290,2,4.98,488.76,401,,,,,,,,,
11292,2.02,4.95,488.76,403.95,,,,,,,,,
11294,2.01,5.02,518.08,400.32,,,,,,,,,
11296,2.01,4.94,527.86,403.57,,,,,,,,,
11298,2.03,5.03,518.08,401.63,,,,,,,,,
11300,2.01,4.99,518.08,401.39,,,,,,,,,
11302,1.99,4.98,488.76,400.07,,,,,,,,,
11304,2,4.97,351.91,401.55,,,,,,,,,
11306,2.02,5.01,342.13,401.78,,,,,,,,,
11308,2.01,5.01,371.46,400.86,,,,,,,,,
11310,2,5.06,410.56,397.8,,,,,,,,,
11312,2.01,5.02,420.33,400.32,,,,,,,,,
11314,2,4.87,469.21,405.4,,,,,,,,,
11316,2.02,4.99,459.43,402.32,,,,,,,,,
11318,1.99,4.99,459.43,399.53,,,,,,,,,
11320,2.01,5.01,557.18,400.86,,,,,,,,,
11322,2.02,5.01,625.61,401.78,,,,,,,,,
11324,2.01,5.14,566.96,395.59,,,,,,,,,
11326,2.02,4.98,527.86,402.86,,,,,,,,,
11328,2.01,5.01,615.84,400.86,,,,,,,,,
11330,2.02,5.03,537.63,400.71,,,,,,,,,
11332,2.02,4.97,527.86,403.41,,,,,,,,,
11334,2.01,4.93,547.41,404.12,,,,,,,,,
11336,2.01,4.98,674.49,401.94,,,,,,,,,
11338,2.02,5.01,645.16,401.78,,,,,,,,,
11340,2.01,4.99,615.84,401.39,,,,,,,,,
11342,2,5.07,469.21,397.27,,,,,,,,,
11344,2.02,4.99,381.23,402.32,,,,,,,,,
11346,2.01,4.99,400.78,401.39,,,,,,,,,
11348,2.01,4.99,391.01,401.39,,,,,,,,,
11350,2.02,5.02,400.78,401.25,,,,,,,,,
11352,2.01,5.06,430.11,398.72,,,,,,,,,
11354,2.01,4.93,381.23,404.12,,,,,,,,,
11356,2,5.01,371.46,399.93,,,,,,,,,
11358,2.01,4.99,371.46,401.39,,,,,,,,,
11360,2.01,5.07,439.88,398.2,,,,,,,,,
11362,2.01,5.02,439.88,400.32,,,,,,,,,
11364,2.03,5.02,527.86,402.17,,,,,,,,,
11366,2,5.01,488.76,399.93,,,,,,,,,
11368,2,4.9,498.53,404.29,,,,,,,,,
11370,2.01,5.01,478.98,400.86,,,,,,,,,
11372,2.01,5.01,508.31,400.86,,,,,,,,,
11374,2.01,4.99,557.18,401.39,,,,,,,,,
11376,2,4.98,478.98,401,,,,,,,,,
11378,2.01,4.99,478.98,401.39,,,,,,,,,
11380,1.99,4.97,469.21,400.61,,,,,,,,,
11382,2,4.97,508.31,401.55,,,,,,,,,
11384,2.01,5.01,449.66,400.86,,,,,,,,,
11386,2.01,5.01,430.11,400.86,,,,,,,,,
11388,2.01,5.01,391.01,400.86,,,,,,,,,
11390,2.01,4.9,410.56,405.23,,,,,,,,,
11392,2.01,5.01,410.56,400.86,,,,,,,,,
11394,2.02,5.02,410.56,401.25,,,,,,,,,
11396,2.01,4.99,391.01,401.39,,,,,,,,,
11398,2.01,5.03,400.78,399.79,,,,,,,,,
11400,2.02,4.98,400.78,402.86,,,,,,,,,
11402,2.02,5.11,430.11,397.54,,,,,,,,,
11404,2.01,5.1,459.43,397.15,,,,,,,,,
11406,2.02,4.99,478.98,402.32,,,,,,,,,
11408,2.03,5.02,586.51,402.17,,,,,,,,,
11410,2.02,4.99,547.41,402.32,,,,,,,,,
11412,2.01,4.99,488.76,401.39,,,,,,,,,
11414,2.01,4.94,410.56,403.57,,,,,,,,,
11416,2.01,4.98,430.11,401.94,,,,,,,,,
11418,2,5.02,420.33,399.39,,,,,,,,,
11420,2.01,5.01,439.88,400.86,,,,,,,,,
11422,1.99,4.95,420.33,401.15,,,,,,,,,
11424,2.01,5.07,430.11,398.2,,,,,,,,,
11426,1.99,5.01,371.46,399,,,,,,,,,
11428,2.01,5.01,410.56,400.86,,,,,,,,,
11430,2.01,5.06,459.43,398.72,,,,,,,,,
11432,2.02,5.03,478.98,400.71,,,,,,,,,
11434,2.01,5.09,518.08,397.67,,,,,,,,,
11436,2.01,5.01,449.66,400.86,,,,,,,,,
11438,2.01,5.01,478.98,400.86,,,,,,,,,
11440,2.01,4.99,459.43,401.39,,,,,,,,,
11442,2.01,4.99,391.01,401.39,,,,,,,,,
11444,2.03,5.01,400.78,402.71,,,,,,,,,
11446,2,4.99,430.11,400.46,,,,,,,,,
11448,2,5.01,420.33,399.93,,,,,,,,,
11450,2.01,4.97,391.01,402.48,,,,,,,,,
11452,2,4.98,400.78,401,,,,,,,,,
11454,2.01,5.02,391.01,400.32,,,,,,,,,
11456,2.01,5.03,400.78,399.79,,,,,,,,,
11458,2.01,4.93,459.43,404.12,,,,,,,,,
11460,2,4.98,430.11,401,,,,,,,,,
11462,2.02,4.99,449.66,402.32,,,,,,,,,
11464,2.01,4.99,449.66,401.39,,,,,,,,,
11466,2.02,5.02,439.88,401.25,,,,,,,,,
11468,2.01,4.93,518.08,404.12,,,,,,,,,
11470,2,4.99,508.31,400.46,,,,,,,,,
11472,2.03,5.05,537.63,401.1,,,,,,,,,
11474,2.01,5.01,459.43,400.86,,,,,,,,,
11476,2.01,4.98,459.43,401.94,,,,,,,,,
11478,2,4.98,420.33,401,,,,,,,,,
11480,2.02,5.01,420.33,401.78,,,,,,,,,
11482,2,5.13,391.01,395.19,,,,,,,,,
11484,2.01,4.99,381.23,401.39,,,,,,,,,
11486,2.01,4.98,439.88,401.94,,,,,,,,,
11488,2.01,5.02,391.01,400.32,,,,,,,,,
11490,2.01,4.98,410.56,401.94,,,,,,,,,
11492,2.01,4.94,469.21,403.57,,,,,,,,,
11494,2.01,5.06,488.76,398.72,,,,,,,,,
11496,2.02,4.99,566.96,402.32,,,,,,,,,
11498,2.01,4.99,566.96,401.39,,,,,,,,,
11500,2.01,4.99,478.98,401.39,,,,,,,,,
11502,2.02,5.01,469.21,401.78,,,,,,,,,
11504,2.01,4.94,596.29,403.57,,,,,,,,,
11506,2.02,4.94,586.51,404.5,,,,,,,,,
11508,2.02,5.01,547.41,401.78,,,,,,,,,
11510,2,4.99,537.63,400.46,,,,,,,,,
11512,2.01,5.01,508.31,400.86,,,,,,,,,
11514,2.03,5.03,420.33,401.63,,,,,,,,,
11516,2,4.99,420.33,400.46,,,,,,,,,
11518,2.01,4.99,478.98,401.39,,,,,,,,,
11520,2.02,5.03,469.21,400.71,,,,,,,,,
11522,2,5.06,449.66,397.8,,,,,,,,,
11524,2.01,4.99,527.86,401.39,,,,,,,,,
11526,2.01,5.03,537.63,399.79,,,,,,,,,
11528,2.02,5.07,478.98,399.12,,,,,,,,,
11530,2.01,4.98,469.21,401.94,,,,,,,,,
11532,2.01,4.98,508.31,401.94,,,,,,,,,
11534,2.02,5.01,488.76,401.78,,,,,,,,,
11536,2.01,5.01,547.41,400.86,,,,,,,,,
11538,2.01,4.95,547.41,403.02,,,,,,,,,
11540,2.02,4.94,508.31,404.5,,,,,,,,,
11542,2.01,4.94,498.53,403.57,,,,,,,,,
11544,2,5.03,498.53,398.86,,,,,,,,,
11546,2.01,4.98,488.76,401.94,,,,,,,,,
11548,2.01,5.09,488.76,397.67,,,,,,,,,
11550,2.01,4.99,478.98,401.39,,,,,,,,,
11552,2.01,4.97,527.86,402.48,,,,,,,,,
11554,2.02,4.99,478.98,402.32,,,,,,,,,
11556,2.01,5.01,508.31,400.86,,,,,,,,,
11558,2,4.9,527.86,404.29,,,,,,,,,
11560,2.01,4.99,557.18,401.39,,,,,,,,,
11562,2.02,4.9,547.41,406.16,,,,,,,,,
11564,2.01,4.99,469.21,401.39,,,,,,,,,
11566,2.01,5.02,449.66,400.32,,,,,,,,,
11568,1.99,4.95,459.43,401.15,,,,,,,,,
11570,1.99,4.98,439.88,400.07,,,,,,,,,
11572,2.01,5.03,449.66,399.79,,,,,,,,,
11574,2.02,5.09,469.21,398.59,,,,,,,,,
11576,2.01,4.97,439.88,402.48,,,,,,,,,
11578,2,5.1,449.66,396.23,,,,,,,,,
11580,2.01,4.9,459.43,405.23,,,,,,,,,
11582,2.01,4.98,459.43,401.94,,,,,,,,,
11584,2.01,5.01,439.88,400.86,,,,,,,,,
11586,2.02,4.99,557.18,402.32,,,,,,,,,
11588,2.01,4.98,469.21,401.94,,,,,,,,,
11590,2.01,4.95,449.66,403.02,,,,,,,,,
11592,2,4.94,488.76,402.63,,,,,,,,,
11594,2.01,4.95,478.98,403.02,,,,,,,,,
11596,2.03,5.02,518.08,402.17,,,,,,,,,
11598,2.01,5.02,488.76,400.32,,,,,,,,,
11600,2,4.95,449.66,402.09,,,,,,,,,
11602,2.01,5.03,459.43,399.79,,,,,,,,,
11604,2,5.02,498.53,399.39,,,,,,,,,
11606,2,5.07,498.53,397.27,,,,,,,,,
11608,2,4.98,430.11,401,,,,,,,,,
11610,2.02,4.99,410.56,402.32,,,,,,,,,
11612,2.01,5.06,430.11,398.72,,,,,,,,,
11614,2.02,5.01,439.88,401.78,,,,,,,,,
11616,2.01,4.93,420.33,404.12,,,,,,,,,
11618,1.99,4.99,459.43,399.53,,,,,,,,,
11620,2.01,5.01,430.11,400.86,,,,,,,,,
11622,2.01,4.94,459.43,403.57,,,,,,,,,
11624,2.01,4.99,557.18,401.39,,,,,,,,,
11626,2.01,5.03,547.41,399.79,,,,,,,,,
11628,2.02,4.99,586.51,402.32,,,,,,,,,
11630,2.02,5.09,576.74,398.59,,,,,,,,,
11632,2.02,5.03,527.86,400.71,,,,,,,,,
11634,2.02,5.03,557.18,400.71,,,,,,,,,
11636,2.01,4.95,664.71,403.02,,,,,,,,,
11638,2.01,4.95,615.84,403.02,,,,,,,,,
11640,2.01,4.99,615.84,401.39,,,,,,,,,
11642,2.01,5.02,508.31,400.32,,,,,,,,,
11644,2.03,5.03,459.43,401.63,,,,,,,,,
11646,2,4.94,420.33,402.63,,,,,,,,,
11648,2,4.99,459.43,400.46,,,,,,,,,
11650,2.01,4.99,478.98,401.39,,,,,,,,,
11652,2.01,5.01,469.21,400.86,,,,,,,,,
11654,2.01,4.99,459.43,401.39,,,,,,,,,
11656,2.01,4.98,527.86,401.94,,,,,,,,,
11658,2.04,5.02,547.41,403.09,,,,,,,,,
11660,2.02,4.99,645.16,402.32,,,,,,,,,
11662,2.02,5.01,694.04,401.78,,,,,,,,,
11664,2.03,5.01,596.29,402.71,,,,,,,,,
11666,2.01,4.99,488.76,401.39,,,,,,,,,
11668,2.01,4.95,459.43,403.02,,,,,,,,,
11670,2.01,4.99,420.33,401.39,,,,,,,,,
11672,2.01,5.01,400.78,400.86,,,,,,,,,
11674,2.03,5.05,439.88,401.1,,,,,,,,,
11676,2.01,4.89,459.43,405.78,,,,,,,,,
11678,2.01,4.99,420.33,401.39,,,,,,,,,
11680,2.01,5.01,420.33,400.86,,,,,,,,,
11682,2.01,4.98,430.11,401.94,,,,,,,,,
11684,2.01,4.99,430.11,401.39,,,,,,,,,
11686,2,4.99,508.31,400.46,,,,,,,,,
11688,2.01,5.05,498.53,399.25,,,,,,,,,
11690,2.01,4.98,498.53,401.94,,,,,,,,,
11692,2,5.01,498.53,399.93,,,,,,,,,
11694,2,5.05,527.86,398.33,,,,,,,,,
11696,2,4.99,635.39,400.46,,,,,,,,,
11698,2.01,4.99,684.26,401.39,,,,,,,,,
11700,2.01,4.94,742.91,403.57,,,,,,,,,
11702,2.02,5.02,635.39,401.25,,,,,,,,,
11704,2.01,4.95,547.41,403.02,,,,,,,,,
11706,2.01,5.06,469.21,398.72,,,,,,,,,
11708,2.03,5.01,478.98,402.71,,,,,,,,,
11710,2.02,5.02,498.53,401.25,,,,,,,,,
11712,2,5.06,488.76,397.8,,,,,,,,,
11714,2.01,4.99,478.98,401.39,,,,,,,,,
11716,2.01,5.01,508.31,400.86,,,,,,,,,
11718,2,4.98,498.53,401,,,,,,,,,
11720,2.02,4.94,518.08,404.5,,,,,,,,,
11722,2,4.99,478.98,400.46,,,,,,,,,
11724,2,4.99,439.88,400.46,,,,,,,,,
11726,2.01,4.89,498.53,405.78,,,,,,,,,
11728,2.01,5.01,400.78,400.86,,,,,,,,,
11730,2.01,4.93,439.88,404.12,,,,,,,,,
11732,2.02,5.07,439.88,399.12,,,,,,,,,
11734,2.02,4.99,430.11,402.32,,,,,,,,,
11736,2.03,4.99,449.66,403.25,,,,,,,,,
11738,2.01,5.01,459.43,400.86,,,,,,,,,
11740,2.01,5.02,478.98,400.32,,,,,,,,,
11742,2.01,4.99,537.63,401.39,,,,,,,,,
11744,2,4.99,459.43,400.46,,,,,,,,,
11746,2.01,5.03,478.98,399.79,,,,,,,,,
11748,2.01,4.98,420.33,401.94,,,,,,,,,
11750,2,5.07,391.01,397.27,,,,,,,,,
11752,2.01,4.95,381.23,403.02,,,,,,,,,
11754,2.01,5.05,410.56,399.25,,,,,,,,,
11756,2,5.14,410.56,394.67,,,,,,,,,
11758,2.01,4.89,381.23,405.78,,,,,,,,,
11760,2,4.98,391.01,401,,,,,,,,,
11762,2.01,5.05,391.01,399.25,,,,,,,,,
11764,2.01,4.99,371.46,401.39,,,,,,,,,
11766,2.02,4.99,391.01,402.32,,,,,,,,,
11768,2.01,4.95,361.68,403.02,,,,,,,,,
11770,2.01,5.03,391.01,399.79,,,,,,,,,
11772,2.01,5.1,459.43,397.15,,,,,,,,,
11774,2.02,5.03,547.41,400.71,,,,,,,,,
11776,2,4.99,635.39,400.46,,,,,,,,,
11778,2.01,5.01,635.39,400.86,,,,,,,,,
11780,2.01,4.98,596.29,401.94,,,,,,,,,
11782,2.01,4.99,557.18,401.39,,,,,,,,,
11784,2.01,4.99,449.66,401.39,,,,,,,,,
11786,2,5.01,400.78,399.93,,,,,,,,,
11788,2,5.05,400.78,398.33,,,,,,,,,
11790,2.01,5.02,420.33,400.32,,,,,,,,,
11792,1.99,4.97,430.11,400.61,,,,,,,,,
11794,2.01,4.99,420.33,401.39,,,,,,,,,
11796,2,4.97,400.78,401.55,,,,,,,,,
11798,2.01,4.99,420.33,401.39,,,,,,,,,
11800,2.01,4.93,459.43,404.12,,,,,,,,,
11802,2,4.98,420.33,401,,,,,,,,,
11804,2.01,5.02,410.56,400.32,,,,,,,,,
11806,1.99,4.99,391.01,399.53,,,,,,,,,
11808,2,5.01,410.56,399.93,,,,,,,,,
11810,2.01,5.1,430.11,397.15,,,,,,,,,
11812,2.02,4.95,400.78,403.95,,,,,,,,,
11814,2.01,4.89,391.01,405.78,,,,,,,,,
11816,2.01,5.1,420.33,397.15,,,,,,,,,
11818,2.02,4.99,391.01,402.32,,,,,,,,,
11820,2.01,5.03,381.23,399.79,,,,,,,,,
11822,2.02,4.94,430.11,404.5,,,,,,,,,
11824,2.02,5.02,391.01,401.25,,,,,,,,,
11826,2,4.91,381.23,403.73,,,,,,,,,
11828,2.02,4.99,391.01,402.32,,,,,,,,,
11830,2.02,4.99,400.78,402.32,,,,,,,,,
11832,2.01,4.99,410.56,401.39,,,,,,,,,
11834,2.01,4.99,449.66,401.39,,,,,,,,,
11836,2.01,4.99,420.33,401.39,,,,,,,,,
11838,2.01,4.99,439.88,401.39,,,,,,,,,
11840,2.01,4.99,518.08,401.39,,,,,,,,,
11842,2.01,5.02,586.51,400.32,,,,,,,,,
11844,2.01,4.99,508.31,401.39,,,,,,,,,
11846,2,4.97,469.21,401.55,,,,,,,,,
11848,2.01,4.99,469.21,401.39,,,,,,,,,
11850,2.01,4.99,459.43,401.39,,,,,,,,,
11852,2.02,5.02,420.33,401.25,,,,,,,,,
11854,2.01,4.9,430.11,405.23,,,,,,,,,
11856,2.02,4.99,449.66,402.32,,,,,,,,,
11858,2.01,4.94,430.11,403.57,,,,,,,,,
11860,2.01,4.97,420.33,402.48,,,,,,,,,
11862,2.01,4.94,430.11,403.57,,,,,,,,,
11864,2.02,4.99,449.66,402.32,,,,,,,,,
11866,2.02,5.02,400.78,401.25,,,,,,,,,
11868,2.02,5.01,410.56,401.78,,,,,,,,,
11870,2.01,4.99,430.11,401.39,,,,,,,,,
11872,1.99,4.97,469.21,400.61,,,,,,,,,
11874,2,5.01,508.31,399.93,,,,,,,,,
11876,2.01,4.95,508.31,403.02,,,,,,,,,
11878,2.01,5.07,478.98,398.2,,,,,,,,,
11880,2.01,4.97,439.88,402.48,,,,,,,,,
11882,2.02,5.07,410.56,399.12,,,,,,,,,
11884,2.01,5.05,391.01,399.25,,,,,,,,,
11886,2.01,5.02,381.23,400.32,,,,,,,,,
11888,2.01,5.02,381.23,400.32,,,,,,,,,
11890,2.02,5.01,410.56,401.78,,,,,,,,,
11892,2.01,5.03,400.78,399.79,,,,,,,,,
11894,2.02,4.99,381.23,402.32,,,,,,,,,
11896,2,5.07,439.88,397.27,,,,,,,,,
11898,2,4.99,430.11,400.46,,,,,,,,,
11900,2.01,4.98,420.33,401.94,,,,,,,,,
11902,2.01,5.05,391.01,399.25,,,,,,,,,
11904,2,4.99,430.11,400.46,,,,,,,,,
11906,2.01,4.99,469.21,401.39,,,,,,,,,
11908,2.01,4.99,439.88,401.39,,,,,,,,,
11910,2.01,4.99,420.33,401.39,,,,,,,,,
11912,2.01,4.98,430.11,401.94,,,,,,,,,
11914,2.02,5.03,449.66,400.71,,,,,,,,,
11916,2.02,4.98,518.08,402.86,,,,,,,,,
11918,2.01,5.01,508.31,400.86,,,,,,,,,
11920,2.01,4.97,615.84,402.48,,,,,,,,,
11922,2,4.99,547.41,400.46,,,,,,,,,
11924,2.01,4.9,518.08,405.23,,,,,,,,,
11926,1.99,4.97,547.41,400.61,,,,,,,,,
11928,2,5.09,518.08,396.75,,,,,,,,,
11930,2.01,4.99,508.31,401.39,,,,,,,,,
11932,2.01,4.98,518.08,401.94,,,,,,,,,
11934,2.02,5.02,488.76,401.25,,,,,,,,,
11936,2.02,4.93,518.08,405.05,,,,,,,,,
11938,2.02,5.1,498.53,398.07,,,,,,,,,
11940,2.01,5.01,469.21,400.86,,,,,,,,,
11942,2.02,4.99,478.98,402.32,,,,,,,,,
11944,2.02,5.01,430.11,401.78,,,,,,,,,
11946,2.01,4.98,469.21,401.94,,,,,,,,,
11948,2.01,5.01,459.43,400.86,,,,,,,,,
11950,2.01,5.02,478.98,400.32,,,,,,,,,
11952,2.01,5.01,498.53,400.86,,,,,,,,,
11954,2.01,4.99,469.21,401.39,,,,,,,,,
11956,2,4.97,527.86,401.55,,,,,,,,,
11958,2.01,4.98,498.53,401.94,,,,,,,,,
11960,2.01,4.97,478.98,402.48,,,,,,,,,
11962,2,5.05,459.43,398.33,,,,,,,,,
11964,2.01,4.98,410.56,401.94,,,,,,,,,
11966,2,4.99,430.11,400.46,,,,,,,,,
11968,2.03,5.03,439.88,401.63,,,,,,,,,
11970,2.03,5.01,439.88,402.71,,,,,,,,,
11972,2.02,4.97,459.43,403.41,,,,,,,,,
11974,2.02,5.02,439.88,401.25,,,,,,,,,
11976,2.01,4.99,439.88,401.39,,,,,,,,,
11978,2.02,5.01,439.88,401.78,,,,,,,,,
11980,2.01,4.99,459.43,401.39,,,,,,,,,
11982,2.02,5.02,478.98,401.25,,,,,,,,,
11984,2,4.91,478.98,403.73,,,,,,,,,
11986,2.01,5.01,459.43,400.86,,,,,,,,,
11988,1.99,5.07,449.66,396.35,,,,,,,,,
11990,2.02,5.02,410.56,401.25,,,,,,,,,
11992,2.01,5.09,391.01,397.67,,,,,,,,,
11994,2.02,4.87,400.78,407.28,,,,,,,,,
11996,2.01,4.97,400.78,402.48,,,,,,,,,
11998,2.01,4.99,498.53,401.39,,,,,,,,,
12000,2.01,4.99,449.66,401.39,,,,,,,,,
12002,2.02,5.09,449.66,398.59,,,,,,,,,
12004,2.01,5.01,410.56,400.86,,,,,,,,,
12006,2.02,4.95,400.78,403.95,,,,,,,,,
12008,2.02,5.01,381.23,401.78,,,,,,,,,
12010,2.02,4.99,381.23,402.32,,,,,,,,,
12012,2.01,5.01,391.01,400.86,,,,,,,,,
12014,2.02,4.95,459.43,403.95,,,,,,,,,
12016,2.01,4.99,478.98,401.39,,,,,,,,,
12018,2.02,5.03,576.74,400.71,,,,,,,,,
12020,2.01,4.99,518.08,401.39,,,,,,,,,
12022,2.02,5.06,547.41,399.65,,,,,,,,,
12024,2.01,4.97,801.56,402.48,,,,,,,,,
12026,2,4.98,742.91,401,,,,,,,,,
12028,2.01,4.98,537.63,401.94,,,,,,,,,
12030,2.01,4.9,518.08,405.23,,,,,,,,,
12032,2.01,5.01,518.08,400.86,,,,,,,,,
12034,2.01,4.99,547.41,401.39,,,,,,,,,
12036,2.02,5.06,508.31,399.65,,,,,,,,,
12038,2.01,5.01,527.86,400.86,,,,,,,,,
12040,2.02,4.95,527.86,403.95,,,,,,,,,
12042,2.01,4.97,498.53,402.48,,,,,,,,,
12044,2.02,4.99,518.08,402.32,,,,,,,,,
12046,2.01,5.01,537.63,400.86,,,,,,,,,
12048,2.01,4.99,508.31,401.39,,,,,,,,,
12050,2.02,4.9,449.66,406.16,,,,,,,,,
12052,2,5.07,469.21,397.27,,,,,,,,,
12054,2,4.98,449.66,401,,,,,,,,,
12056,2.01,4.97,430.11,402.48,,,,,,,,,
12058,2.01,4.93,420.33,404.12,,,,,,,,,
12060,2,4.99,400.78,400.46,,,,,,,,,
12062,2,4.99,381.23,400.46,,,,,,,,,
12064,2.01,4.99,400.78,401.39,,,,,,,,,
12066,2,4.91,430.11,403.73,,,,,,,,,
12068,2.02,4.95,449.66,403.95,,,,,,,,,
12070,2.01,4.99,449.66,401.39,,,,,,,,,
12072,2.02,4.98,410.56,402.86,,,,,,,,,
12074,2.02,4.99,459.43,402.32,,,,,,,,,
12076,2.03,5.07,449.66,400.04,,,,,,,,,
12078,2.01,5.02,400.78,400.32,,,,,,,,,
12080,2.01,5.06,459.43,398.72,,,,,,,,,
12082,2.01,5.06,478.98,398.72,,,,,,,,,
12084,2.02,4.94,537.63,404.5,,,,,,,,,
12086,2.01,4.98,469.21,401.94,,,,,,,,,
12088,2.01,4.91,469.21,404.67,,,,,,,,,
12090,2.01,5.02,459.43,400.32,,,,,,,,,
12092,1.99,4.98,576.74,400.07,,,,,,,,,
12094,2.01,4.99,459.43,401.39,,,,,,,,,
12096,2.01,5.03,400.78,399.79,,,,,,,,,
12098,2.02,4.95,449.66,403.95,,,,,,,,,
12100,2.01,4.99,351.91,401.39,,,,,,,,,
12102,2,4.99,361.68,400.46,,,,,,,,,
12104,2.02,5.05,459.43,400.18,,,,,,,,,
12106,2.01,4.97,459.43,402.48,,,,,,,,,
12108,2,4.98,518.08,401,,,,,,,,,
12110,2.01,4.98,606.06,401.94,,,,,,,,,
12112,2,4.99,547.41,400.46,,,,,,,,,
12114,2.01,5.01,469.21,400.86,,,,,,,,,
12116,2,4.93,410.56,403.18,,,,,,,,,
12118,2.02,5.02,430.11,401.25,,,,,,,,,
12120,2.01,5.05,449.66,399.25,,,,,,,,,
12122,2.04,5.06,381.23,401.48,,,,,,,,,
12124,2.01,4.99,371.46,401.39,,,,,,,,,
12126,2.01,5.01,400.78,400.86,,,,,,,,,
12128,2.02,4.99,430.11,402.32,,,,,,,,,
12130,2,5.02,430.11,399.39,,,,,,,,,
12132,2.02,4.99,439.88,402.32,,,,,,,,,
12134,2,4.99,439.88,400.46,,,,,,,,,
12136,2.02,5.02,430.11,401.25,,,,,,,,,
