# material: Micrometer_Test,,,,,
# geometry:,,,,,
# preform_diameter:,,,,,
# material_color:,,,,,
# temperature_C:,,,,,
# drawdown_ratio:,,,,,
# trial_number: 001,,,,,
# operator:Luka Morita,,,,,
# start_time: 2025-06-20 15:48:14,,,,,
# notes: Testing analog micrometer noise with known diameter (1.75mm filament),,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),
251.4,0.52,1.28,1730.21,404.43,
251.6,0.51,1.26,1759.53,402.93,
251.8,0.51,1.25,1739.98,405.09,
252,0.51,1.26,1749.76,402.93,
252.2,0.5,1.25,1769.31,401.39,
252.4,0.5,1.23,1749.76,403.57,
252.6,0.51,1.25,1739.98,405.09,
252.8,0.48,1.28,1739.98,389.72,
253,0.5,1.25,1749.76,401.39,
253.2,0.51,1.19,1739.98,414.1,
253.4,0.51,1.25,1749.76,405.09,
253.6,0.51,1.25,1749.76,405.09,
253.8,0.51,1.34,1769.31,390.66,
254,0.52,1.3,1769.31,400.24,
254.2,0.53,1.28,1759.53,408.03,
254.4,0.52,1.28,1759.53,404.43,
254.6,0.49,1.28,1730.21,393.45,
254.8,0.51,1.19,1769.31,414.1,
255,0.53,1.26,1769.31,410.19,
255.2,0.51,1.28,1759.53,400.81,
255.4,0.5,1.21,1749.76,408.03,
255.6,0.5,1.26,1730.21,399.25,
255.8,0.5,1.25,1759.53,401.39,
256,0.52,1.19,1749.76,417.84,
256.2,0.5,1.29,1730.21,395.07,
256.4,0.51,1.23,1759.53,407.29,
256.6,0.51,1.29,1749.76,398.71,
256.8,0.52,1.25,1749.76,408.76,
257,0.5,1.21,1759.53,408.03,
257.2,0.5,1.26,1769.31,399.25,
257.4,0.51,1.22,1759.53,409.52,
257.6,0.53,1.23,1749.76,414.63,
257.8,0.51,1.28,1769.31,400.81,
258,0.51,1.26,1739.98,402.93,
258.2,0.49,1.26,1739.98,395.54,
258.4,0.49,1.3,1739.98,389.38,
258.6,0.51,1.26,1730.21,402.93,
258.8,0.52,1.3,1730.21,400.24,
259,0.5,1.22,1749.76,405.78,
259.2,0.51,1.25,1759.53,405.09,
259.4,0.52,1.28,1749.76,404.43,
259.6,0.52,1.36,1759.53,392.24,
259.8,0.52,1.28,1759.53,404.43,
260,0.51,1.26,1759.53,402.93,
260.2,0.51,1.34,1749.76,390.66,
260.4,0.51,1.26,1749.76,402.93,
260.6,0.51,1.3,1749.76,396.65,
260.8,0.51,1.22,1769.31,409.52,
261,0.51,1.28,1749.76,400.81,
261.2,0.51,1.25,1779.08,405.09,
261.4,0.52,1.25,1759.53,408.76,
261.6,0.5,1.21,1749.76,408.03,
261.8,0.51,1.25,1749.76,405.09,
262,0.53,1.23,1759.53,414.63,
262.2,0.53,1.25,1739.98,412.39,
262.4,0.5,1.26,1769.31,399.25,
262.6,0.49,1.26,1749.76,395.54,
262.8,0.51,1.26,1759.53,402.93,
263,0.51,1.26,1730.21,402.93,
263.2,0.51,1.28,1749.76,400.81,
263.4,0.5,1.25,1749.76,401.39,
263.6,0.51,1.26,1769.31,402.93,
263.8,0.51,1.28,1710.65,400.81,
264,0.49,1.26,1739.98,395.54,
264.2,0.51,1.22,1749.76,409.52,
264.4,0.51,1.25,1769.31,405.09,
264.6,0.51,1.25,1769.31,405.09,
264.8,0.52,1.3,1739.98,400.24,
265,0.5,1.28,1730.21,397.15,
265.2,0.52,1.23,1739.98,410.98,
265.4,0.52,1.23,1759.53,410.98,
265.6,0.51,1.25,1739.98,405.09,
265.8,0.52,1.28,1759.53,404.43,
266,0.53,1.23,1739.98,414.63,
266.2,0.52,1.28,1759.53,404.43,
266.4,0.51,1.28,1749.76,400.81,
266.6,0.51,1.25,1759.53,405.09,
266.8,0.51,1.26,1749.76,402.93,
267,0.5,1.23,1749.76,403.57,
267.2,0.51,1.22,1739.98,409.52,
267.4,0.51,1.25,1739.98,405.09,
267.6,0.49,1.26,1749.76,395.54,
267.8,0.49,1.23,1749.76,399.82,
268,0.5,1.25,1739.98,401.39,
268.2,0.53,1.28,1759.53,408.03,
268.4,0.51,1.3,1759.53,396.65,
268.6,0.49,1.28,1749.76,393.45,
268.8,0.51,1.26,1749.76,402.93,
269,0.51,1.29,1749.76,398.71,
269.2,0.51,1.28,1749.76,400.81,
269.4,0.52,1.22,1749.76,413.23,
269.6,0.5,1.25,1749.76,401.39,
269.8,0.49,1.23,1749.76,399.82,
270,0.49,1.28,1720.43,393.45,
270.2,0.5,1.25,1749.76,401.39,
270.4,0.5,1.32,1769.31,391.02,
270.6,0.51,1.21,1739.98,411.79,
270.8,0.52,1.28,1749.76,404.43,
271,0.49,1.26,1730.21,395.54,
271.2,0.5,1.25,1749.76,401.39,
271.4,0.5,1.28,1749.76,397.15,
271.6,0.52,1.22,1739.98,413.23,
271.8,0.52,1.26,1749.76,406.58,
272,0.51,1.28,1749.76,400.81,
272.2,0.51,1.29,1739.98,398.71,
272.4,0.51,1.29,1749.76,398.71,
272.6,0.5,1.28,1739.98,397.15,
272.8,0.49,1.25,1720.43,397.66,
273,0.51,1.25,1749.76,405.09,
273.2,0.52,1.23,1759.53,410.98,
273.4,0.51,1.28,1739.98,400.81,
273.6,0.51,1.25,1759.53,405.09,
273.8,0.51,1.25,1759.53,405.09,
274,0.52,1.19,1759.53,417.84,
274.2,0.52,1.28,1739.98,404.43,
274.4,0.5,1.26,1739.98,399.25,
274.6,0.51,1.26,1759.53,402.93,
274.8,0.51,1.25,1749.76,405.09,
275,0.51,1.22,1739.98,409.52,
275.2,0.51,1.29,1739.98,398.71,
275.4,0.5,1.29,1749.76,395.07,
275.6,0.5,1.26,1739.98,399.25,
275.8,0.5,1.29,1739.98,395.07,
276,0.51,1.26,1739.98,402.93,
276.2,0.51,1.25,1749.76,405.09,
276.4,0.53,1.23,1759.53,414.63,
276.6,0.51,1.3,1759.53,396.65,
276.8,0.51,1.28,1749.76,400.81,
277,0.51,1.26,1759.53,402.93,
277.2,0.52,1.23,1749.76,410.98,
277.4,0.51,1.28,1749.76,400.81,
277.6,0.49,1.25,1769.31,397.66,
277.8,0.51,1.25,1749.76,405.09,
278,0.5,1.23,1769.31,403.57,
278.2,0.51,1.23,1759.53,407.29,
278.4,0.5,1.26,1749.76,399.25,
278.6,0.52,1.26,1759.53,406.58,
278.8,0.53,1.33,1749.76,399.7,
279,0.52,1.29,1749.76,402.32,
279.2,0.51,1.28,1759.53,400.81,
279.4,0.51,1.28,1720.43,400.81,
279.6,0.51,1.26,1730.21,402.93,
279.8,0.51,1.22,1739.98,409.52,
280,0.5,1.28,1739.98,397.15,
280.2,0.51,1.32,1749.76,394.62,
280.4,0.51,1.26,1759.53,402.93,
280.6,0.49,1.23,1739.98,399.82,
280.8,0.53,1.26,1739.98,410.19,
281,0.53,1.29,1749.76,405.9,
281.2,0.5,1.26,1759.53,399.25,
281.4,0.52,1.26,1769.31,406.58,
281.6,0.53,1.25,1749.76,412.39,
281.8,0.51,1.19,1749.76,414.1,
282,0.52,1.26,1749.76,406.58,
282.2,0.53,1.26,1749.76,410.19,
282.4,0.5,1.22,1749.76,405.78,
282.6,0.5,1.25,1739.98,401.39,
282.8,0.51,1.22,1749.76,409.52,
283,0.52,1.15,1769.31,425.07,
283.2,0.52,1.25,1759.53,408.76,
283.4,0.52,1.25,1739.98,408.76,
283.6,0.52,1.25,1749.76,408.76,
283.8,0.52,1.28,1749.76,404.43,
284,0.51,1.26,1730.21,402.93,
284.2,0.51,1.23,1749.76,407.29,
284.4,0.53,1.26,1749.76,410.19,
284.6,0.5,1.28,1749.76,397.15,
284.8,0.52,1.22,1769.31,413.23,
285,0.49,1.23,1749.76,399.82,
285.2,0.5,1.22,1749.76,405.78,
285.4,0.5,1.26,1739.98,399.25,
285.6,0.5,1.26,1720.43,399.25,
285.8,0.5,1.28,1749.76,397.15,
286,0.5,1.23,1759.53,403.57,
286.2,0.5,1.32,1759.53,391.02,
286.4,0.5,1.29,1749.76,395.07,
286.6,0.51,1.28,1749.76,400.81,
286.8,0.51,1.33,1759.53,392.63,
287,0.51,1.26,1739.98,402.93,
287.2,0.48,1.26,1749.76,391.79,
287.4,0.5,1.21,1759.53,408.03,
287.6,0.49,1.29,1749.76,391.4,
287.8,0.49,1.23,1749.76,399.82,
288,0.51,1.3,1749.76,396.65,
288.2,0.51,1.21,1749.76,411.79,
288.4,0.49,1.23,1739.98,399.82,
288.6,0.51,1.29,1739.98,398.71,
288.8,0.52,1.26,1749.76,406.58,
289,0.51,1.3,1749.76,396.65,
289.2,0.48,1.26,1739.98,391.79,
289.4,0.52,1.28,1749.76,404.43,
289.6,0.53,1.26,1759.53,410.19,
289.8,0.53,1.28,1749.76,408.03,
290,0.5,1.3,1749.76,393.03,
290.2,0.5,1.26,1730.21,399.25,
290.4,0.49,1.26,1739.98,395.54,
290.6,0.5,1.26,1739.98,399.25,
290.8,0.51,1.23,1739.98,407.29,
291,0.5,1.26,1739.98,399.25,
291.2,0.5,1.25,1779.08,401.39,
291.4,0.52,1.25,1749.76,408.76,
291.6,0.52,1.23,1749.76,410.98,
291.8,0.52,1.25,1749.76,408.76,
292,0.51,1.25,1759.53,405.09,
292.2,0.51,1.29,1749.76,398.71,
292.4,0.5,1.26,1749.76,399.25,
292.6,0.48,1.23,1759.53,396.03,
292.8,0.5,1.23,1769.31,403.57,
293,0.51,1.23,1769.31,407.29,
293.2,0.52,1.23,1739.98,410.98,
293.4,0.49,1.28,1739.98,393.45,
293.6,0.52,1.3,1739.98,400.24,
293.8,0.52,1.26,1759.53,406.58,
294,0.5,1.23,1739.98,403.57,
294.2,0.53,1.22,1749.76,416.9,
294.4,0.52,1.26,1749.76,406.58,
294.6,0.5,1.33,1749.76,389.04,
294.8,0.51,1.26,1749.76,402.93,
295,0.54,1.28,1749.76,411.59,
295.2,0.51,1.23,1759.53,407.29,
295.4,0.5,1.23,1730.21,403.57,
295.6,0.51,1.3,1739.98,396.65,
295.8,0.5,1.29,1710.65,395.07,
296,0.51,1.25,1769.31,405.09,
296.2,0.5,1.23,1739.98,403.57,
296.4,0.5,1.28,1749.76,397.15,
296.6,0.51,1.26,1749.76,402.93,
296.8,0.51,1.26,1749.76,402.93,
297,0.51,1.28,1739.98,400.81,
297.2,0.5,1.29,1759.53,395.07,
297.4,0.48,1.23,1749.76,396.03,
297.6,0.48,1.22,1759.53,398.2,
297.8,0.52,1.23,1779.08,410.98,
298,0.51,1.25,1730.21,405.09,
298.2,0.5,1.21,1749.76,408.03,
298.4,0.52,1.26,1749.76,406.58,
298.6,0.53,1.3,1749.76,403.8,
298.8,0.51,1.23,1759.53,407.29,
299,0.5,1.28,1749.76,397.15,
299.2,0.5,1.26,1720.43,399.25,
299.4,0.5,1.26,1739.98,399.25,
299.6,0.51,1.33,1739.98,392.63,
299.8,0.49,1.21,1759.53,404.23,
300,0.48,1.25,1739.98,393.89,
300.2,0.51,1.26,1769.31,402.93,
300.4,0.49,1.28,1749.76,393.45,
300.6,0.51,1.26,1739.98,402.93,
300.8,0.52,1.34,1749.76,394.19,
301,0.51,1.28,1730.21,400.81,
301.2,0.5,1.25,1749.76,401.39,
301.4,0.5,1.23,1759.53,403.57,
301.6,0.5,1.22,1759.53,405.78,
301.8,0.52,1.26,1730.21,406.58,
302,0.52,1.26,1739.98,406.58,
302.2,0.52,1.25,1769.31,408.76,
302.4,0.51,1.22,1759.53,409.52,
302.6,0.52,1.25,1759.53,408.76,
302.8,0.5,1.23,1759.53,403.57,
303,0.51,1.26,1759.53,402.93,
303.2,0.52,1.29,1749.76,402.32,
303.4,0.49,1.29,1739.98,391.4,
303.6,0.5,1.26,1749.76,399.25,
303.8,0.51,1.25,1769.31,405.09,
304,0.49,1.21,1749.76,404.23,
304.2,0.5,1.26,1720.43,399.25,
304.4,0.5,1.28,1759.53,397.15,
304.6,0.51,1.29,1739.98,398.71,
304.8,0.52,1.23,1759.53,410.98,
305,0.51,1.26,1759.53,402.93,
305.2,0.52,1.26,1749.76,406.58,
305.4,0.5,1.28,1759.53,397.15,
305.6,0.51,1.25,1769.31,405.09,
305.8,0.51,1.26,1739.98,402.93,
306,0.52,1.28,1759.53,404.43,
306.2,0.52,1.25,1739.98,408.76,
306.4,0.51,1.22,1759.53,409.52,
306.6,0.53,1.33,1749.76,399.7,
306.8,0.54,1.29,1739.98,409.44,
307,0.52,1.3,1749.76,400.24,
307.2,0.52,1.26,1749.76,406.58,
307.4,0.51,1.26,1739.98,402.93,
307.6,0.51,1.25,1739.98,405.09,
307.8,0.5,1.26,1749.76,399.25,
308,0.51,1.25,1749.76,405.09,
308.2,0.5,1.28,1749.76,397.15,
308.4,0.51,1.28,1779.08,400.81,
308.6,0.5,1.25,1759.53,401.39,
308.8,0.51,1.29,1739.98,398.71,
309,0.52,1.26,1739.98,406.58,
309.2,0.51,1.18,1739.98,416.44,
309.4,0.51,1.28,1730.21,400.81,
309.6,0.52,1.22,1759.53,413.23,
309.8,0.51,1.26,1769.31,402.93,
310,0.51,1.25,1749.76,405.09,
310.2,0.51,1.25,1788.86,405.09,
310.4,0.53,1.28,1759.53,408.03,
310.6,0.51,1.23,1779.08,407.29,
310.8,0.52,1.3,1749.76,400.24,
311,0.51,1.25,1749.76,405.09,
311.2,0.49,1.26,1739.98,395.54,
311.4,0.5,1.25,1730.21,401.39,
311.6,0.51,1.25,1720.43,405.09,
311.8,0.5,1.22,1739.98,405.78,
312,0.55,1.28,1739.98,415.13,
312.2,0.51,1.26,1759.53,402.93,
312.4,0.52,1.25,1749.76,408.76,
312.6,0.52,1.26,1779.08,406.58,
312.8,0.51,1.19,1759.53,414.1,
313,0.52,1.3,1749.76,400.24,
313.2,0.5,1.25,1749.76,401.39,
313.4,0.53,1.26,1739.98,410.19,
313.6,0.53,1.28,1739.98,408.03,
313.8,0.5,1.25,1749.76,401.39,
314,0.49,1.22,1749.76,402.01,
314.2,0.49,1.28,1739.98,393.45,
314.4,0.5,1.28,1720.43,397.15,
314.6,0.52,1.25,1739.98,408.76,
314.8,0.51,1.29,1769.31,398.71,
315,0.53,1.28,1769.31,408.03,
315.2,0.51,1.29,1739.98,398.71,
315.4,0.51,1.26,1759.53,402.93,
315.6,0.51,1.28,1759.53,400.81,
315.8,0.52,1.28,1749.76,404.43,
316,0.51,1.26,1779.08,402.93,
316.2,0.51,1.26,1739.98,402.93,
316.4,0.51,1.3,1759.53,396.65,
316.6,0.51,1.18,1739.98,416.44,
316.8,0.51,1.3,1749.76,396.65,
317,0.51,1.25,1749.76,405.09,
317.2,0.5,1.25,1739.98,401.39,
317.4,0.51,1.28,1769.31,400.81,
317.6,0.52,1.26,1759.53,406.58,
317.8,0.51,1.22,1749.76,409.52,
318,0.5,1.26,1749.76,399.25,
318.2,0.51,1.29,1749.76,398.71,
318.4,0.5,1.22,1739.98,405.78,
318.6,0.51,1.26,1759.53,402.93,
318.8,0.5,1.26,1739.98,399.25,
319,0.51,1.28,1739.98,400.81,
319.2,0.5,1.19,1739.98,410.32,
319.4,0.5,1.26,1759.53,399.25,
319.6,0.52,1.23,1739.98,410.98,
319.8,0.52,1.3,1759.53,400.24,
320,0.53,1.32,1739.98,401.74,
320.2,0.51,1.17,1759.53,418.83,
320.4,0.5,1.21,1759.53,408.03,
320.6,0.51,1.25,1749.76,405.09,
320.8,0.55,1.28,1749.76,415.13,
321,0.51,1.23,1769.31,407.29,
321.2,0.5,1.25,1759.53,401.39,
321.4,0.5,1.23,1739.98,403.57,
321.6,0.51,1.23,1759.53,407.29,
321.8,0.52,1.23,1730.21,410.98,
322,0.51,1.25,1730.21,405.09,
322.2,0.5,1.26,1759.53,399.25,
322.4,0.52,1.3,1749.76,400.24,
322.6,0.51,1.21,1749.76,411.79,
322.8,0.5,1.26,1730.21,399.25,
323,0.51,1.33,1759.53,392.63,
323.2,0.51,1.25,1769.31,405.09,
323.4,0.51,1.26,1730.21,402.93,
323.6,0.5,1.26,1739.98,399.25,
323.8,0.49,1.26,1739.98,395.54,
324,0.49,1.26,1739.98,395.54,
324.2,0.51,1.32,1739.98,394.62,
324.4,0.51,1.25,1749.76,405.09,
324.6,0.51,1.25,1759.53,405.09,
324.8,0.52,1.25,1759.53,408.76,
325,0.51,1.25,1730.21,405.09,
325.2,0.52,1.28,1759.53,404.43,
325.4,0.52,1.26,1739.98,406.58,
325.6,0.51,1.23,1749.76,407.29,
325.8,0.5,1.28,1749.76,397.15,
326,0.5,1.26,1749.76,399.25,
326.2,0.51,1.25,1769.31,405.09,
326.4,0.51,1.26,1749.76,402.93,
326.6,0.51,1.29,1759.53,398.71,
326.8,0.5,1.25,1739.98,401.39,
327,0.52,1.23,1759.53,410.98,
327.2,0.5,1.28,1759.53,397.15,
327.4,0.51,1.26,1749.76,402.93,
327.6,0.51,1.28,1749.76,400.81,
327.8,0.5,1.26,1769.31,399.25,
328,0.53,1.28,1749.76,408.03,
328.2,0.5,1.26,1739.98,399.25,
328.4,0.48,1.26,1739.98,391.79,
328.6,0.51,1.25,1730.21,405.09,
328.8,0.5,1.18,1739.98,412.64,
329,0.51,1.26,1730.21,402.93,
329.2,0.49,1.26,1749.76,395.54,
329.4,0.49,1.28,1759.53,393.45,
329.6,0.52,1.26,1739.98,406.58,
329.8,0.51,1.29,1739.98,398.71,
330,0.5,1.26,1730.21,399.25,
330.2,0.51,1.28,1739.98,400.81,
330.4,0.52,1.26,1759.53,406.58,
330.6,0.52,1.21,1749.76,415.52,
330.8,0.5,1.26,1739.98,399.25,
331,0.49,1.25,1739.98,397.66,
331.2,0.5,1.21,1749.76,408.03,
331.4,0.51,1.25,1730.21,405.09,
331.6,0.51,1.32,1749.76,394.62,
331.8,0.51,1.25,1759.53,405.09,
332,0.5,1.26,1730.21,399.25,
332.2,0.51,1.25,1759.53,405.09,
332.4,0.52,1.26,1730.21,406.58,
332.6,0.49,1.28,1730.21,393.45,
332.8,0.5,1.26,1749.76,399.25,
333,0.51,1.25,1759.53,405.09,
333.2,0.5,1.29,1749.76,395.07,
333.4,0.51,1.21,1749.76,411.79,
333.6,0.51,1.26,1759.53,402.93,
333.8,0.51,1.28,1730.21,400.81,
334,0.5,1.28,1749.76,397.15,
334.2,0.5,1.26,1739.98,399.25,
334.4,0.5,1.26,1749.76,399.25,
334.6,0.49,1.23,1720.43,399.82,
334.8,0.52,1.25,1730.21,408.76,
335,0.51,1.26,1749.76,402.93,
335.2,0.51,1.28,1749.76,400.81,
335.4,0.53,1.28,1739.98,408.03,
335.6,0.5,1.29,1720.43,395.07,
335.8,0.52,1.22,1759.53,413.23,
336,0.52,1.25,1759.53,408.76,
336.2,0.51,1.28,1749.76,400.81,
336.4,0.52,1.26,1749.76,406.58,
336.6,0.51,1.26,1759.53,402.93,
336.8,0.51,1.28,1730.21,400.81,
337,0.52,1.22,1749.76,413.23,
337.2,0.51,1.28,1759.53,400.81,
337.4,0.52,1.25,1749.76,408.76,
337.6,0.53,1.25,1739.98,412.39,
337.8,0.51,1.28,1749.76,400.81,
338,0.52,1.23,1739.98,410.98,
338.2,0.5,1.28,1739.98,397.15,
338.4,0.51,1.25,1739.98,405.09,
338.6,0.51,1.28,1749.76,400.81,
338.8,0.52,1.23,1739.98,410.98,
339,0.52,1.19,1749.76,417.84,
339.2,0.52,1.26,1749.76,406.58,
339.4,0.51,1.26,1759.53,402.93,
339.6,0.53,1.26,1749.76,410.19,
339.8,0.51,1.28,1749.76,400.81,
340,0.5,1.32,1759.53,391.02,
340.2,0.51,1.28,1739.98,400.81,
340.4,0.5,1.3,1749.76,393.03,
340.6,0.49,1.25,1769.31,397.66,
340.8,0.5,1.22,1749.76,405.78,
341,0.5,1.25,1749.76,401.39,
341.2,0.5,1.26,1749.76,399.25,
341.4,0.49,1.28,1720.43,393.45,
341.6,0.52,1.25,1749.76,408.76,
341.8,0.51,1.25,1769.31,405.09,
342,0.51,1.21,1749.76,411.79,
342.2,0.51,1.26,1779.08,402.93,
342.4,0.51,1.18,1749.76,416.44,
342.6,0.52,1.23,1730.21,410.98,
342.8,0.53,1.29,1749.76,405.9,
343,0.51,1.26,1749.76,402.93,
343.2,0.5,1.29,1739.98,395.07,
343.4,0.51,1.18,1759.53,416.44,
343.6,0.52,1.19,1749.76,417.84,
343.8,0.51,1.23,1749.76,407.29,
344,0.5,1.22,1749.76,405.78,
344.2,0.5,1.22,1749.76,405.78,
344.4,0.5,1.25,1769.31,401.39,
344.6,0.52,1.22,1759.53,413.23,
344.8,0.5,1.23,1749.76,403.57,
345,0.51,1.28,1749.76,400.81,
345.2,0.54,1.26,1749.76,413.78,
345.4,0.51,1.28,1759.53,400.81,
345.6,0.53,1.26,1749.76,410.19,
345.8,0.51,1.29,1749.76,398.71,
346,0.51,1.28,1730.21,400.81,
346.2,0.51,1.26,1739.98,402.93,
346.4,0.5,1.26,1730.21,399.25,
346.6,0.52,1.23,1739.98,410.98,
346.8,0.5,1.18,1739.98,412.64,
347,0.52,1.26,1759.53,406.58,
347.2,0.53,1.29,1739.98,405.9,
347.4,0.51,1.28,1739.98,400.81,
347.6,0.51,1.3,1759.53,396.65,
347.8,0.51,1.28,1759.53,400.81,
348,0.51,1.28,1749.76,400.81,
348.2,0.51,1.26,1779.08,402.93,
348.4,0.5,1.3,1749.76,393.03,
348.6,0.53,1.25,1769.31,412.39,
348.8,0.51,1.25,1739.98,405.09,
349,0.5,1.25,1749.76,401.39,
349.2,0.5,1.23,1759.53,403.57,
349.4,0.52,1.25,1769.31,408.76,
349.6,0.52,1.29,1749.76,402.32,
349.8,0.51,1.29,1759.53,398.71,
350,0.53,1.28,1759.53,408.03,
350.2,0.51,1.26,1739.98,402.93,
350.4,0.51,1.25,1759.53,405.09,
350.6,0.53,1.26,1749.76,410.19,
350.8,0.51,1.28,1759.53,400.81,
351,0.5,1.26,1739.98,399.25,
351.2,0.52,1.26,1749.76,406.58,
351.4,0.51,1.28,1730.21,400.81,
351.6,0.49,1.28,1739.98,393.45,
351.8,0.51,1.25,1749.76,405.09,
352,0.5,1.26,1720.43,399.25,
352.2,0.52,1.3,1749.76,400.24,
352.4,0.51,1.28,1749.76,400.81,
352.6,0.52,1.28,1759.53,404.43,
352.8,0.52,1.22,1739.98,413.23,
353,0.51,1.28,1749.76,400.81,
353.2,0.51,1.3,1749.76,396.65,
353.4,0.51,1.28,1739.98,400.81,
353.6,0.5,1.21,1749.76,408.03,
353.8,0.51,1.21,1749.76,411.79,
354,0.5,1.23,1759.53,403.57,
354.2,0.51,1.23,1749.76,407.29,
354.4,0.5,1.19,1749.76,410.32,
354.6,0.52,1.3,1749.76,400.24,
354.8,0.53,1.25,1749.76,412.39,
355,0.5,1.25,1720.43,401.39,
355.2,0.52,1.26,1739.98,406.58,
355.4,0.52,1.29,1759.53,402.32,
355.6,0.51,1.28,1759.53,400.81,
355.8,0.51,1.26,1749.76,402.93,
356,0.51,1.26,1749.76,402.93,
356.2,0.52,1.28,1749.76,404.43,
356.4,0.51,1.25,1749.76,405.09,
356.6,0.5,1.25,1759.53,401.39,
356.8,0.51,1.25,1720.43,405.09,
357,0.5,1.25,1720.43,401.39,
357.2,0.52,1.28,1749.76,404.43,
357.4,0.51,1.28,1739.98,400.81,
357.6,0.51,1.28,1759.53,400.81,
357.8,0.51,1.25,1759.53,405.09,
358,0.51,1.26,1749.76,402.93,
358.2,0.53,1.3,1749.76,403.8,
358.4,0.51,1.25,1788.86,405.09,
358.6,0.5,1.28,1730.21,397.15,
358.8,0.51,1.25,1769.31,405.09,
359,0.5,1.21,1749.76,408.03,
359.2,0.49,1.25,1720.43,397.66,
359.4,0.52,1.23,1749.76,410.98,
359.6,0.51,1.25,1759.53,405.09,
359.8,0.51,1.28,1739.98,400.81,
360,0.52,1.28,1739.98,404.43,
360.2,0.52,1.23,1749.76,410.98,
360.4,0.53,1.28,1759.53,408.03,
360.6,0.51,1.25,1769.31,405.09,
360.8,0.51,1.21,1739.98,411.79,
361,0.5,1.23,1749.76,403.57,
361.2,0.5,1.23,1730.21,403.57,
361.4,0.5,1.33,1739.98,389.04,
361.6,0.51,1.25,1749.76,405.09,
361.8,0.51,1.28,1739.98,400.81,
362,0.5,1.25,1739.98,401.39,
362.2,0.5,1.3,1730.21,393.03,
362.4,0.51,1.33,1739.98,392.63,
362.6,0.51,1.26,1759.53,402.93,
362.8,0.51,1.19,1759.53,414.1,
363,0.5,1.28,1739.98,397.15,
363.2,0.51,1.26,1739.98,402.93,
363.4,0.52,1.25,1759.53,408.76,
363.6,0.51,1.26,1749.76,402.93,
363.8,0.51,1.29,1730.21,398.71,
364,0.5,1.25,1759.53,401.39,
364.2,0.48,1.26,1749.76,391.79,
364.4,0.51,1.23,1749.76,407.29,
364.6,0.51,1.28,1739.98,400.81,
364.8,0.51,1.17,1749.76,418.83,
365,0.5,1.23,1720.43,403.57,
365.2,0.52,1.23,1759.53,410.98,
365.4,0.52,1.26,1749.76,406.58,
365.6,0.51,1.26,1749.76,402.93,
365.8,0.51,1.36,1749.76,388.72,
366,0.53,1.25,1749.76,412.39,
366.2,0.51,1.3,1739.98,396.65,
366.4,0.52,1.33,1749.76,396.18,
366.6,0.5,1.25,1759.53,401.39,
366.8,0.5,1.26,1739.98,399.25,
367,0.51,1.25,1739.98,405.09,
367.2,0.5,1.26,1730.21,399.25,
367.4,0.5,1.22,1759.53,405.78,
367.6,0.5,1.25,1739.98,401.39,
367.8,0.5,1.26,1759.53,399.25,
368,0.51,1.34,1739.98,390.66,
368.2,0.52,1.26,1739.98,406.58,
368.4,0.5,1.29,1739.98,395.07,
368.6,0.52,1.26,1739.98,406.58,
368.8,0.51,1.25,1749.76,405.09,
369,0.52,1.28,1749.76,404.43,
369.2,0.5,1.25,1749.76,401.39,
369.4,0.5,1.25,1769.31,401.39,
369.6,0.51,1.26,1749.76,402.93,
369.8,0.5,1.26,1730.21,399.25,
370,0.51,1.25,1739.98,405.09,
370.2,0.5,1.26,1739.98,399.25,
370.4,0.51,1.28,1749.76,400.81,
370.6,0.51,1.21,1739.98,411.79,
370.8,0.5,1.26,1749.76,399.25,
371,0.53,1.29,1739.98,405.9,
371.2,0.51,1.26,1759.53,402.93,
371.4,0.49,1.26,1730.21,395.54,
371.6,0.5,1.29,1749.76,395.07,
371.8,0.5,1.25,1749.76,401.39,
372,0.5,1.22,1739.98,405.78,
372.2,0.5,1.25,1759.53,401.39,
372.4,0.49,1.26,1730.21,395.54,
372.6,0.5,1.29,1749.76,395.07,
372.8,0.51,1.22,1749.76,409.52,
373,0.52,1.26,1739.98,406.58,
373.2,0.51,1.28,1739.98,400.81,
373.4,0.53,1.26,1759.53,410.19,
373.6,0.51,1.25,1739.98,405.09,
373.8,0.5,1.23,1759.53,403.57,
374,0.49,1.29,1749.76,391.4,
374.2,0.49,1.23,1739.98,399.82,
374.4,0.5,1.29,1759.53,395.07,
374.6,0.5,1.26,1759.53,399.25,
374.8,0.51,1.26,1739.98,402.93,
375,0.52,1.25,1739.98,408.76,
375.2,0.5,1.28,1749.76,397.15,
375.4,0.52,1.28,1779.08,404.43,
375.6,0.52,1.26,1739.98,406.58,
375.8,0.51,1.25,1759.53,405.09,
376,0.5,1.28,1779.08,397.15,
376.2,0.5,1.26,1749.76,399.25,
376.4,0.49,1.28,1739.98,393.45,
376.6,0.5,1.25,1769.31,401.39,
376.8,0.48,1.32,1739.98,383.71,
377,0.5,1.26,1739.98,399.25,
377.2,0.51,1.26,1739.98,402.93,
377.4,0.51,1.25,1759.53,405.09,
377.6,0.52,1.3,1759.53,400.24,
377.8,0.51,1.25,1769.31,405.09,
378,0.51,1.26,1769.31,402.93,
378.2,0.51,1.25,1788.86,405.09,
378.4,0.53,1.26,1730.21,410.19,
378.6,0.51,1.3,1749.76,396.65,
378.8,0.5,1.23,1749.76,403.57,
