# material: Micrometer_Test,,,,,
# geometry:,,,,,
# preform_diameter:,,,,,
# material_color:,,,,,
# temperature_C:,,,,,
# drawdown_ratio:,,,,,
# trial_number: 001,,,,,
# operator:Luka Morita,,,,,
# start_time: 2025-06-20 15:48:14,,,,,
# notes: Testing analog micrometer noise with known diameter (1.75mm filament),,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),
103.4,0.51,1.28,1749.76,400.81,
103.6,0.49,1.23,1749.76,399.82,
103.8,0.49,1.28,1739.98,393.45,
104,0.5,1.26,1739.98,399.25,
104.2,0.5,1.23,1739.98,403.57,
104.4,0.5,1.28,1769.31,397.15,
104.6,0.52,1.26,1749.76,406.58,
104.8,0.51,1.25,1759.53,405.09,
105,0.53,1.25,1749.76,412.39,
105.2,0.52,1.28,1739.98,404.43,
105.4,0.51,1.26,1769.31,402.93,
105.6,0.5,1.25,1749.76,401.39,
105.8,0.52,1.26,1759.53,406.58,
106,0.55,1.26,1749.76,417.33,
106.2,0.52,1.25,1759.53,408.76,
106.4,0.52,1.21,1739.98,415.52,
106.6,0.53,1.23,1759.53,414.63,
106.8,0.5,1.21,1749.76,408.03,
107,0.52,1.25,1779.08,408.76,
107.2,0.52,1.28,1769.31,404.43,
107.4,0.52,1.26,1749.76,406.58,
107.6,0.51,1.29,1749.76,398.71,
107.8,0.51,1.26,1730.21,402.93,
108,0.51,1.25,1749.76,405.09,
108.2,0.51,1.28,1749.76,400.81,
108.4,0.5,1.25,1739.98,401.39,
108.6,0.5,1.26,1759.53,399.25,
108.8,0.49,1.23,1749.76,399.82,
109,0.5,1.25,1730.21,401.39,
109.2,0.51,1.25,1779.08,405.09,
109.4,0.51,1.25,1759.53,405.09,
109.6,0.51,1.26,1759.53,402.93,
109.8,0.51,1.25,1749.76,405.09,
110,0.48,1.28,1749.76,389.72,
110.2,0.49,1.25,1749.76,397.66,
110.4,0.49,1.21,1749.76,404.23,
110.6,0.51,1.26,1769.31,402.93,
110.8,0.5,1.22,1749.76,405.78,
111,0.51,1.29,1759.53,398.71,
111.2,0.51,1.14,1759.53,423.73,
111.4,0.5,1.19,1739.98,410.32,
111.6,0.5,1.18,1759.53,412.64,
111.8,0.53,1.3,1759.53,403.8,
112,0.52,1.29,1759.53,402.32,
112.2,0.5,1.28,1749.76,397.15,
112.4,0.52,1.26,1769.31,406.58,
112.6,0.51,1.15,1769.31,421.26,
112.8,0.51,1.25,1739.98,405.09,
113,0.5,1.25,1759.53,401.39,
113.2,0.5,1.23,1739.98,403.57,
113.4,0.51,1.23,1739.98,407.29,
113.6,0.49,1.34,1749.76,383.49,
113.8,0.53,1.28,1759.53,408.03,
114,0.51,1.26,1759.53,402.93,
114.2,0.52,1.28,1749.76,404.43,
114.4,0.53,1.29,1749.76,405.9,
114.6,0.51,1.22,1769.31,409.52,
114.8,0.52,1.25,1779.08,408.76,
115,0.52,1.25,1749.76,408.76,
115.2,0.51,1.3,1749.76,396.65,
115.4,0.49,1.26,1730.21,395.54,
115.6,0.5,1.23,1788.86,403.57,
115.8,0.52,1.25,1749.76,408.76,
116,0.51,1.26,1759.53,402.93,
116.2,0.51,1.3,1749.76,396.65,
116.4,0.49,1.22,1759.53,402.01,
116.6,0.5,1.23,1749.76,403.57,
116.8,0.51,1.28,1749.76,400.81,
117,0.5,1.29,1759.53,395.07,
117.2,0.5,1.28,1730.21,397.15,
117.4,0.5,1.25,1739.98,401.39,
117.6,0.49,1.25,1720.43,397.66,
117.8,0.49,1.23,1769.31,399.82,
118,0.52,1.25,1759.53,408.76,
118.2,0.52,1.25,1759.53,408.76,
118.4,0.49,1.28,1730.21,393.45,
118.6,0.52,1.28,1759.53,404.43,
118.8,0.49,1.29,1769.31,391.4,
119,0.51,1.28,1759.53,400.81,
119.2,0.52,1.25,1759.53,408.76,
119.4,0.5,1.29,1769.31,395.07,
119.6,0.53,1.28,1749.76,408.03,
119.8,0.53,1.3,1739.98,403.8,
120,0.51,1.23,1739.98,407.29,
120.2,0.54,1.28,1749.76,411.59,
120.4,0.52,1.25,1759.53,408.76,
120.6,0.51,1.25,1759.53,405.09,
120.8,0.51,1.28,1759.53,400.81,
121,0.51,1.25,1769.31,405.09,
121.2,0.51,1.23,1739.98,407.29,
121.4,0.51,1.33,1749.76,392.63,
121.6,0.51,1.22,1749.76,409.52,
121.8,0.51,1.28,1759.53,400.81,
122,0.5,1.29,1739.98,395.07,
122.2,0.5,1.32,1739.98,391.02,
122.4,0.51,1.23,1720.43,407.29,
122.6,0.5,1.29,1749.76,395.07,
122.8,0.51,1.26,1739.98,402.93,
123,0.52,1.26,1769.31,406.58,
123.2,0.49,1.28,1749.76,393.45,
123.4,0.51,1.26,1749.76,402.93,
123.6,0.53,1.26,1749.76,410.19,
