# material: PETG,,,,,,,,,,,,,,,,
# geometry: oct,,,,,,,,,,,,,,,,
# preform_diameter: 20.0,,,,,,,,,,,,,,,,
# material_color: black,,,,,,,,,,,,,,,,
# temperature_C: 160.0,,,,,,,,,,,,,,,,
# drawdown_ratio: 50.0,,,,,,,,,,,,,,,,
# trial_number: 011,,,,,,,,,,,,,,,,
# operator: Kevin Liu,,,,,,,,,,,,,,,,
# start_time: 2025-07-31 13:48:20,,,,,,,,,,,,,,,,
# notes: PI control system active. Horizontally printed preform 0 deg raster. 010 glitched,,,,,,,,,,,,,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),,,,,,,,,,,,
51.7,1.98,4.97,469.21,380.42,,,,,,,,,,,,
51.9,1.99,4.97,459.43,381.32,,,,,,,,,,,,
52.1,1.98,5.08,449.66,376.35,,,,,,,,,,,,
52.3,1.98,5.08,420.33,376.35,,,,,,,,,,,,
52.5,1.98,5.08,439.88,376.35,,,,,,,,,,,,
52.7,1.98,5.08,449.66,376.35,,,,,,,,,,,,
52.9,1.98,5.08,459.43,376.35,,,,,,,,,,,,
53.1,1.98,5.08,469.21,376.35,,,,,,,,,,,,
53.3,1.99,5.08,469.21,377.24,,,,,,,,,,,,
53.5,1.99,5.08,498.53,377.24,,,,,,,,,,,,
53.7,1.99,5.08,478.98,377.24,,,,,,,,,,,,
53.9,1.99,5.08,478.98,377.24,,,,,,,,,,,,
54.1,1.98,5.08,469.21,376.35,,,,,,,,,,,,
54.3,1.97,5.08,478.98,375.47,,,,,,,,,,,,
54.5,1.99,5.08,439.88,377.24,,,,,,,,,,,,
54.7,1.98,5.08,478.98,376.35,,,,,,,,,,,,
54.9,1.98,5.08,459.43,376.35,,,,,,,,,,,,
55.1,1.98,5.08,469.21,376.35,,,,,,,,,,,,
55.3,1.99,5.08,459.43,377.24,,,,,,,,,,,,
55.5,1.99,5.08,459.43,377.24,,,,,,,,,,,,
55.7,1.98,5.08,459.43,376.35,,,,,,,,,,,,
55.9,1.98,5.08,478.98,376.35,,,,,,,,,,,,
56.1,1.99,5.08,459.43,377.24,,,,,,,,,,,,
56.3,1.98,5.08,478.98,376.35,,,,,,,,,,,,
56.5,1.98,5.08,469.21,376.35,,,,,,,,,,,,
56.7,1.98,5.08,469.21,376.35,,,,,,,,,,,,
56.9,1.98,5.08,488.76,376.35,,,,,,,,,,,,
57.1,1.99,5.08,478.98,377.24,,,,,,,,,,,,
57.3,1.98,5.08,478.98,376.35,,,,,,,,,,,,
57.5,1.99,5.19,469.21,373.29,,,,,,,,,,,,
57.7,1.99,5.19,459.43,373.29,,,,,,,,,,,,
57.9,1.98,5.19,459.43,372.41,,,,,,,,,,,,
58.1,1.98,5.19,459.43,372.41,,,,,,,,,,,,
58.3,1.98,5.19,459.43,372.41,,,,,,,,,,,,
58.5,1.97,5.19,478.98,371.54,,,,,,,,,,,,
58.7,1.99,5.19,469.21,373.29,,,,,,,,,,,,
58.9,1.98,5.19,478.98,372.41,,,,,,,,,,,,
59.1,1.99,5.19,469.21,373.29,,,,,,,,,,,,
59.3,1.98,5.19,469.21,372.41,,,,,,,,,,,,
59.5,1.99,5.19,469.21,373.29,,,,,,,,,,,,
59.7,1.99,5.19,449.66,373.29,,,,,,,,,,,,
59.9,1.99,5.19,469.21,373.29,,,,,,,,,,,,
60.1,1.98,5.19,449.66,372.41,,,,,,,,,,,,
60.3,1.99,5.19,459.43,373.29,,,,,,,,,,,,
60.5,1.98,5.19,478.98,372.41,,,,,,,,,,,,
60.7,1.99,5.19,459.43,373.29,,,,,,,,,,,,
60.9,1.98,5.19,488.76,372.41,,,,,,,,,,,,
61.1,1.99,5.19,459.43,373.29,,,,,,,,,,,,
61.3,1.98,5.19,469.21,372.41,,,,,,,,,,,,
61.5,1.99,5.19,459.43,373.29,,,,,,,,,,,,
61.7,1.99,5.19,459.43,373.29,,,,,,,,,,,,
61.9,1.99,5.19,459.43,373.29,,,,,,,,,,,,
62.1,1.98,5.19,488.76,372.41,,,,,,,,,,,,
62.3,1.99,5.19,488.76,373.29,,,,,,,,,,,,
62.5,1.98,5.19,498.53,372.41,,,,,,,,,,,,
62.7,1.99,5.3,469.21,369.46,,,,,,,,,,,,
62.9,1.98,5.3,498.53,368.59,,,,,,,,,,,,
63.1,1.99,5.3,459.43,369.46,,,,,,,,,,,,
63.3,1.98,5.3,478.98,368.59,,,,,,,,,,,,
63.5,1.99,5.3,469.21,369.46,,,,,,,,,,,,
63.7,1.98,5.3,498.53,368.59,,,,,,,,,,,,
63.9,1.99,5.3,469.21,369.46,,,,,,,,,,,,
64.1,1.98,5.3,498.53,368.59,,,,,,,,,,,,
64.3,1.98,5.3,469.21,368.59,,,,,,,,,,,,
64.5,1.99,5.3,459.43,369.46,,,,,,,,,,,,
64.7,1.99,5.3,449.66,369.46,,,,,,,,,,,,
64.9,1.98,5.3,459.43,368.59,,,,,,,,,,,,
65.1,1.99,5.3,459.43,369.46,,,,,,,,,,,,
65.3,1.98,5.3,459.43,368.59,,,,,,,,,,,,
65.5,1.98,5.3,449.66,368.59,,,,,,,,,,,,
65.7,1.98,5.3,488.76,368.59,,,,,,,,,,,,
65.9,1.98,5.3,498.53,368.59,,,,,,,,,,,,
66.1,1.99,5.3,498.53,369.46,,,,,,,,,,,,
66.3,1.99,5.3,478.98,369.46,,,,,,,,,,,,
66.5,1.98,5.3,488.76,368.59,,,,,,,,,,,,
66.7,1.98,5.3,459.43,368.59,,,,,,,,,,,,
66.9,1.98,5.3,478.98,368.59,,,,,,,,,,,,
67.1,1.98,5.3,469.21,368.59,,,,,,,,,,,,
67.3,1.97,5.3,478.98,367.73,,,,,,,,,,,,
67.5,1.98,5.3,459.43,368.59,,,,,,,,,,,,
67.7,1.98,5.41,469.21,364.89,,,,,,,,,,,,
67.9,1.99,5.41,469.21,365.74,,,,,,,,,,,,
68.1,1.99,5.41,478.98,365.74,,,,,,,,,,,,
68.3,1.99,5.41,469.21,365.74,,,,,,,,,,,,
68.5,1.99,5.41,478.98,365.74,,,,,,,,,,,,
68.7,1.98,5.41,478.98,364.89,,,,,,,,,,,,
68.9,1.99,5.41,478.98,365.74,,,,,,,,,,,,
69.1,1.99,5.41,459.43,365.74,,,,,,,,,,,,
69.3,1.98,5.41,498.53,364.89,,,,,,,,,,,,
69.5,1.99,5.41,488.76,365.74,,,,,,,,,,,,
69.7,1.98,5.41,488.76,364.89,,,,,,,,,,,,
69.9,1.99,5.41,478.98,365.74,,,,,,,,,,,,
70.1,1.99,5.41,488.76,365.74,,,,,,,,,,,,
70.3,1.99,5.41,469.21,365.74,,,,,,,,,,,,
70.5,1.99,5.41,469.21,365.74,,,,,,,,,,,,
70.7,1.99,5.41,488.76,365.74,,,,,,,,,,,,
70.9,1.98,5.41,459.43,364.89,,,,,,,,,,,,
71.1,1.99,5.41,459.43,365.74,,,,,,,,,,,,
71.3,1.98,5.41,508.31,364.89,,,,,,,,,,,,
71.5,1.99,5.41,459.43,365.74,,,,,,,,,,,,
71.7,1.98,5.41,488.76,364.89,,,,,,,,,,,,
71.9,1.99,5.41,478.98,365.74,,,,,,,,,,,,
72.1,1.98,5.41,488.76,364.89,,,,,,,,,,,,
72.3,1.99,5.51,459.43,362.14,,,,,,,,,,,,
72.5,1.97,5.51,469.21,360.45,,,,,,,,,,,,
72.7,1.99,5.51,449.66,362.14,,,,,,,,,,,,
72.9,1.99,5.51,459.43,362.14,,,,,,,,,,,,
